SchoolID,SchoolYearStart,CountyID,DistrictID,Enrollment,DistrictEnrollment,CountyEnrollment,FreeLunches,DistrictFreeLunches,CountyFreeLunches,ReducedLunches,DistrictReducedLunches,CountyReducedLunches,EligibleStudents,DistrictEligibleStudents,CountyEligibleStudents,PercentEligible,DistrictPercentEligible,CountyPercentEligible,County,District,School,Spacer
957,7/1/14,26,2182,2741,11702,91940,1502,7719,44444,196,821,6010,1698,8540,50454,61.95,72.98,54.88,Multnomah,Reynolds SD 7,Reynolds High School,
2263,7/1/14,26,2182,635,11702,91940,333,7719,44444,68,821,6010,401,8540,50454,63.15,72.98,54.88,Multnomah,Reynolds SD 7,Walt Morey Middle School,
951,7/1/14,26,2182,395,11702,91940,230,7719,44444,35,821,6010,265,8540,50454,67.09,72.98,54.88,Multnomah,Reynolds SD 7,Troutdale Elementary School,
4822,7/1/14,26,2182,407,11702,91940,254,7719,44444,42,821,6010,296,8540,50454,72.73,72.98,54.88,Multnomah,Reynolds SD 7,KNOVA Reynolds Public Charter School,
945,7/1/14,26,2182,386,11702,91940,255,7719,44444,28,821,6010,283,8540,50454,73.32,72.98,54.88,Multnomah,Reynolds SD 7,Fairview Elementary School,
948,7/1/14,26,2182,488,11702,91940,340,7719,44444,33,821,6010,373,8540,50454,76.43,72.98,54.88,Multnomah,Reynolds SD 7,Margaret Scott Elementary School,
954,7/1/14,26,2182,836,11702,91940,608,7719,44444,62,821,6010,670,8540,50454,80.14,72.98,54.88,Multnomah,Reynolds SD 7,Hauton B Lee Middle School,
1254,7/1/14,26,2182,977,11702,91940,714,7719,44444,69,821,6010,783,8540,50454,80.14,72.98,54.88,Multnomah,Reynolds SD 7,Reynolds Middle School,
1365,7/1/14,26,2182,534,11702,91940,382,7719,44444,46,821,6010,428,8540,50454,80.15,72.98,54.88,Multnomah,Reynolds SD 7,Woodland Elementary,
1343,7/1/14,26,2182,257,11702,91940,195,7719,44444,14,821,6010,209,8540,50454,81.32,72.98,54.88,Multnomah,Reynolds SD 7,Reynolds Learning Academy,
3989,7/1/14,26,2182,472,11702,91940,371,7719,44444,25,821,6010,396,8540,50454,83.9,72.98,54.88,Multnomah,Reynolds SD 7,Salish Ponds Elementary School,
952,7/1/14,26,2182,454,11702,91940,358,7719,44444,31,821,6010,389,8540,50454,85.68,72.98,54.88,Multnomah,Reynolds SD 7,Wilkes Elementary School,
943,7/1/14,26,2182,547,11702,91940,471,7719,44444,22,821,6010,493,8540,50454,90.13,72.98,54.88,Multnomah,Reynolds SD 7,Alder Elementary School,
947,7/1/14,26,2182,552,11702,91940,469,7719,44444,31,821,6010,500,8540,50454,90.58,72.98,54.88,Multnomah,Reynolds SD 7,Hartley Elementary School,
946,7/1/14,26,2182,523,11702,91940,451,7719,44444,36,821,6010,487,8540,50454,93.12,72.98,54.88,Multnomah,Reynolds SD 7,Glenfair Elementary School,
949,7/1/14,26,2182,463,11702,91940,410,7719,44444,27,821,6010,437,8540,50454,94.38,72.98,54.88,Multnomah,Reynolds SD 7,Davis Elementary School,
304,7/1/14,10,1999,204,384,13935,149,288,7598,18,41,1101,167,329,8699,81.86,85.68,62.43,Douglas,Riddle SD 70,Riddle Elementary School,
305,7/1/14,10,1999,180,384,13935,139,288,7598,23,41,1101,162,329,8699,90,85.68,62.43,Douglas,Riddle SD 70,Riddle High School,
985,7/1/14,26,2188,346,588,91940,,,44444,,,6010,0,0,50454,,,54.88,Multnomah,Riverdale SD 51J,Riverdale Grade School,
1345,7/1/14,26,2188,242,588,91940,,,44444,,,6010,0,0,50454,,,54.88,Multnomah,Riverdale SD 51J,Riverdale High School,
4856,7/1/14,15,2044,150,880,28633,,389,14891,,63,2045,0,452,16936,,51.36,59.15,Jackson,Rogue River SD 35,Rivers Edge Academy Charter School,
401,7/1/14,15,2044,345,880,28633,146,389,14891,27,63,2045,173,452,16936,50.14,51.36,59.15,Jackson,Rogue River SD 35,Rogue River Junior/Senior High,
399,7/1/14,15,2044,385,880,28633,243,389,14891,36,63,2045,279,452,16936,72.47,51.36,59.15,Jackson,Rogue River SD 35,Rogue River Elementary School,
3582,7/1/14,24,2142,8,40698,60991,,22679,32986,,2987,4619,0,25666,37605,,63.06,61.66,Marion,Salem-Keizer SD 24J,Catholic Community Services,
1358,7/1/14,24,2142,161,40698,60991,21,22679,32986,,2987,4619,21,25666,37605,,63.06,61.66,Marion,Salem-Keizer SD 24J,Howard Street Charter,
3528,7/1/14,24,2142,129,40698,60991,21,22679,32986,,2987,4619,24,25666,37605,,63.06,61.66,Marion,Salem-Keizer SD 24J,Optimum Learning Environment Charter School,
2814,7/1/14,24,2142,,40698,60991,,22679,32986,,2987,4619,0,25666,37605,0,63.06,61.66,Marion,Salem-Keizer SD 24J,Marion County Jail,
733,7/1/14,24,2142,352,40698,60991,77,22679,32986,10,2987,4619,87,25666,37605,24.72,63.06,61.66,Marion,Salem-Keizer SD 24J,Candalaria Elementary School,
761,7/1/14,24,2142,500,40698,60991,126,22679,32986,29,2987,4619,155,25666,37605,31,63.06,61.66,Marion,Salem-Keizer SD 24J,Sumpter Elementary School,
4858,7/1/14,24,2142,614,40698,60991,179,22679,32986,30,2987,4619,209,25666,37605,34.04,63.06,61.66,Marion,Salem-Keizer SD 24J,Kalapuya Elementary School,
774,7/1/14,24,2142,1692,40698,60991,484,22679,32986,98,2987,4619,582,25666,37605,34.4,63.06,61.66,Marion,Salem-Keizer SD 24J,Sprague High School,
734,7/1/14,24,2142,474,40698,60991,143,22679,32986,22,2987,4619,165,25666,37605,34.81,63.06,61.66,Marion,Salem-Keizer SD 24J,Clear Lake Elementary School,
4390,7/1/14,24,2142,167,40698,60991,52,22679,32986,10,2987,4619,62,25666,37605,37.13,63.06,61.66,Marion,Salem-Keizer SD 24J,Valley Inquiry Charter School,
760,7/1/14,24,2142,445,40698,60991,138,22679,32986,28,2987,4619,166,25666,37605,37.3,63.06,61.66,Marion,Salem-Keizer SD 24J,Schirle Elementary School,
3463,7/1/14,24,2142,1732,40698,60991,519,22679,32986,130,2987,4619,649,25666,37605,37.47,63.06,61.66,Marion,Salem-Keizer SD 24J,West Salem High School,
1244,7/1/14,24,2142,360,40698,60991,105,22679,32986,31,2987,4619,136,25666,37605,37.78,63.06,61.66,Marion,Salem-Keizer SD 24J,Chapman Hill Elementary School,
4859,7/1/14,24,2142,585,40698,60991,183,22679,32986,38,2987,4619,221,25666,37605,37.78,63.06,61.66,Marion,Salem-Keizer SD 24J,Straub Middle School,
4210,7/1/14,24,2142,97,40698,60991,32,22679,32986,6,2987,4619,38,25666,37605,39.18,63.06,61.66,Marion,Salem-Keizer SD 24J,Jane Goodall Environmental Middle Charter School,
770,7/1/14,24,2142,733,40698,60991,242,22679,32986,58,2987,4619,300,25666,37605,40.93,63.06,61.66,Marion,Salem-Keizer SD 24J,Whiteaker Middle School,
756,7/1/14,24,2142,525,40698,60991,197,22679,32986,20,2987,4619,217,25666,37605,41.33,63.06,61.66,Marion,Salem-Keizer SD 24J,Pringle Elementary School,
1329,7/1/14,24,2142,692,40698,60991,253,22679,32986,49,2987,4619,302,25666,37605,43.64,63.06,61.66,Marion,Salem-Keizer SD 24J,Crossler Middle School,
3529,7/1/14,24,2142,239,40698,60991,89,22679,32986,19,2987,4619,108,25666,37605,45.19,63.06,61.66,Marion,Salem-Keizer SD 24J,Forest Ridge Elementary School,
765,7/1/14,24,2142,932,40698,60991,370,22679,32986,54,2987,4619,424,25666,37605,45.49,63.06,61.66,Marion,Salem-Keizer SD 24J,Judson Middle School,
769,7/1/14,24,2142,612,40698,60991,225,22679,32986,55,2987,4619,280,25666,37605,45.75,63.06,61.66,Marion,Salem-Keizer SD 24J,Walker Middle School,
731,7/1/14,24,2142,201,40698,60991,78,22679,32986,14,2987,4619,92,25666,37605,45.77,63.06,61.66,Marion,Salem-Keizer SD 24J,Brush College Elementary School,
