County,Agr.,Site.,Sponsor.Name,Site.Name,SchoolID,Area.Eligible.School,Street.Address,Addr2,City,State,Zip.Code,Opening.Date,Closing.Date,Operating.Days,Breakfasts.Served,AM.Snacks.Served,Lunches.Served,PM.Snacks.Served,Suppers.Served,X
Douglas,614001,14100,North Bend SD 13,Jewett School,309,Highland Elementary,Jewett School,325 High St,Gardiner,OR,97441,17-Jun-13,16-Aug-13,44,0,0,561,0,0,NA
Josephine,1707001,14905,Grants Pass SD,Gilbert Creek Park,436,Highland/Lincoln/North,1750 N.W. Hawthorne,,Grants Pass,OR,97526,17-Jun-13,23-Aug-13,48,0,0,2170,0,0,NA
Coos,614001,13521,North Bend SD 13,Airport Housing Complex,204,Hillcrest Elementary,11th St Airport Heights,,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,1401,0,0,NA
Coos,614001,13520,North Bend SD 13,Airport Park,204,Hillcrest Elementary,Colorado St,,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,691,0,0,NA
Coos,614001,14685,North Bend SD 13,Boynton Park,204,Hillcrest Elementary,Corner of Newmark / Sherman,,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,1084,0,0,NA
Coos,614001,12673,North Bend SD 13,Boys & Girls Club-SWOYA,204,Hillcrest Elementary,Boys & Girls Club,1333 Walnut St.,Coos Bay,OR,97420,12-Jun-13,23-Aug-13,44,1966,0,3614,0,0,NA
Coos,614001,14875,North Bend SD 13,Cedar Grove,204,Hillcrest Elementary,Inland Drive,,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,615,0,0,NA
Coos,614001,14686,North Bend SD 13,Ferry Street Park,204,Hillcrest Elementary,Ferry Street Road,,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,528,0,0,NA
Coos,614001,10377,North Bend SD 13,Hillcrest Elem,204,Hillcrest Elementary,Hillcrest Elementary,1100 Maine St,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,739,0,0,NA
Coos,614001,14684,North Bend SD 13,Newmark Manor,204,Hillcrest Elementary,1638 Newmark,,Coos Bay,OR,97420,17-Jun-13,16-Aug-13,44,0,0,1641,0,0,NA
Coos,614001,15304,North Bend SD 13,North Bend Swimming Pool,204,Hillcrest Elementary,2455 Pacific Ave,,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,328,0,0,NA
Coos,614001,14681,North Bend SD 13,Oak Street Park,204,Hillcrest Elementary,Oak Street,,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,1082,0,0,NA
Coos,614001,14182,North Bend SD 13,Simpson Park - North Bend,204,Hillcrest Elementary,Simpson Park,1220 Sherman  Ave,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,467,0,0,NA
Coos,614001,15303,North Bend SD 13,Sea Mist Apartment Complex,204,Hillcrest Elementary ,Sea Mist,121 Norman,Coos Bay,OR,97420,15-Jul-13,16-Aug-13,44,0,0,106,0,0,NA
Jackson,1505001,11615,Eagle Point SD,Hillside Elementary,204,Hillside Elementarty,185 EAST MAIN STREET,,EAGLE POINT,OR,97524,8-Jul-13,26-Jul-13,15,290,0,598,0,0,NA
Multnomah,2607003,13166,Gresham-Barlow SD 10J,Hogan Cedars Elem,3543,Hogan Cedars,1770 SE Fleming,,Gresham,OR,97080,22-Jul-13,15-Aug-13,16,1001,0,1337,0,0,NA
Clackamas,315002,10281,Oregon City SD 62,Holcomb Elem,107,Holcomb Elementary School,14625 S. Holcomb Blvd.,,Oregon City,OR,97045,17-Jun-13,16-Aug-13,30,0,0,1217,0,0,NA
Marion,2419004,14575,Salem/Keizer SD 24J,Colonial Libertad,1330,Houck Middle School,2910 Saddle Club Road SE,,Salem,OR,97317,17-Jun-13,29-Aug-13,54,0,0,2204,0,0,NA
Jackson,1513001,10495,Medford SD 549,South Medford High,410,Howard Elementary,1551 Cunningham Avenue,,Medford,OR,97501,17-Jun-13,16-Aug-13,36,75,0,792,0,0,NA
Lane,2006004,12461,Food For Lane County,Emerald Park (River Road Park),410,Howard Elementary School,1400 Lake Street,,Eugene,OR,97404,17-Jun-13,23-Aug-13,49,0,0,4839,0,0,NA
Columbia,518001,14427,Rainier SD 13,Brian Cliff Complex,171,Hudson Park Elementary,28168 Old Rainer Road,,Rainier,OR,97048,17-Jun-13,16-Aug-13,41,0,0,0,0,2126,NA
Columbia,518001,14989,Rainier SD 13,Delena Baptist Church,171,Hudson Park Elementary,25272 Alston Road,,Rainier,OR,97048,29-Jul-13,2-Aug-13,5,0,0,530,0,0,NA
Columbia,518001,10332,Rainier SD 13,Hudson Park Elem/Rainier High,171,Hudson Park Elementary,28178 Old Rainier Road,,Rainier,OR,97048,12-Jun-13,16-Aug-13,44,998,0,3674,0,0,NA
Columbia,518001,13849,Rainier SD 13,North Columbia Academy,171,Hudson Park Elementary,"305 3rd West, Room 114",,Rainier,OR,97048,17-Jun-13,16-Aug-13,44,0,0,1566,0,0,NA
Columbia,518001,14426,Rainier SD 13,PGE - Trojan Park,171,Hudson Park Elementary,73125 Prescott Beach Drive,,Rainier,OR,97048,8-Jul-13,12-Jul-13,5,0,0,477,0,0,NA
Grant,1210001,15271,John Day/Canyon City Parks and Rec,John Day,327,Humbolt Elementary,250 NW Canton,,John Day,OR,97845,17-Jun-13,9-Aug-13,31,0,0,2093,0,0,NA
Morrow,2513001,10917,Morrow Co SD,Irrigon Jr/Sr High School,817,Irrigon High School,315 East Wyoming,,Irrigon,OR,97844,12-Jun-13,28-Jun-13,13,148,0,287,0,0,NA
Klamath,1809001,13856,Integral Youth Services of Klamath Falls,IYS New Vision Learning Center,,IYS New Visions Learning Center,1011  Main St.,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,49,0,0,2220,0,0,NA
Klamath,1809001,13089,Integral Youth Services of Klamath Falls,Veterans Park,,IYS New Visions Learning Center,10 George Nurse Way,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,41,0,0,113,0,0,NA
Jackson,1513001,14953,Medford SD 549,Salvation Army,411,Jackson Elementary School,304 N. Beatty Avenue,,Medford,OR,97501,17-Jun-13,22-Aug-13,47,3,0,1016,968,0,NA
Jackson,1513001,14460,Medford SD 549,Santos Center,411,Jackson Elementary School,701 N. Columbus Avenue,,Medford,OR,97501,11-Jun-13,31-Aug-13,63,0,0,0,748,2737,NA
Multnomah,2616011,11031,Portland SD,James John Elementary,862,James John,7439 N Charleston,,Portland,OR,97203,24-Jun-13,16-Aug-13,32,1235,0,1856,0,0,NA
Multnomah,2616011,12695,Portland SD,St. John's Park,862,James John,8427 N Central,,Portland,OR,97203,18-Jun-13,23-Aug-13,48,0,0,6120,0,0,NA
Jefferson,1610001,10525,Jefferson Co SD 509,Jefferson County Middle,1773,Jefferson County Middle School,1180 SE Kemper Way,,Madras,OR,97741,5-Aug-13,22-Aug-13,12,579,0,792,0,0,NA
Marion,2410001,14733,Jefferson SD 14J,7th Street Park,721,Jefferson Elementary School,254 S 7th St,,Jefferson,OR,97352,10-Jun-13,31-Aug-13,60,0,0,1145,0,0,NA
Marion,2410001,14732,Jefferson SD 14J,Jefferson Community Center,721,Jefferson Elementary School,107 N Main St,,Jefferson,OR,97352,10-Jun-13,31-Aug-13,60,0,0,1408,0,0,NA
Marion,2410001,14777,Jefferson SD 14J,Jefferson Parks,721,Jefferson Elementary School,1328 N 2nd St,,Jefferson,OR,97352,10-Jun-13,31-Aug-13,60,0,0,1205,0,0,NA
Multnomah,2616011,10975,Portland SD,Jefferson High,913,Jefferson High,5210 N Kerby Ave,,Portland,OR,97217,1-Jul-13,9-Aug-13,26,567,0,3156,0,0,NA
Multnomah,2620004,13964,"Salvation Army, The - Moore Street",The Salvation Army,913,Jefferson High School,5325 N. Williams Ave.,,Portland,OR,97217,17-Jun-13,30-Aug-13,53,560,0,2827,0,0,NA
Clackamas,315002,10282,Oregon City SD 62,Jennings Lodge Elem,110,Jennings Lodge Elementary School,18521 SE River Road,,Milwaukie,OR,97267,17-Jun-13,16-Aug-13,19,0,0,352,0,0,NA
Deschutes,902001,14122,Bend/LaPine SD,Sun Meadow,,Jewell Elementary,61150 Dayspring Drive,,Bend,OR,97702,17-Jun-13,23-Aug-13,48,0,0,2536,0,0,NA
Clatsop,410001,10315,Jewell SD 8,Jewell School,3352,Jewell School,83874 Hwy 103,,Seaside,OR,97138,17-Jun-13,29-Aug-13,43,0,0,1256,0,0,NA
Clatsop,410001,15274,Jewell SD 8,Mehalem Valley Church,3352,Jewell School ,80803 Hwy 103,,Seaside,OR,97138,17-Jun-13,29-Aug-13,31,0,0,1042,0,0,NA
Jackson,1503002,14676,Central Point SD,Don Jones Memorial Park,383,Jewett Elementary,223 West Villas Road,,Central Point,OR,97502,24-Jun-13,9-Aug-13,31,0,0,2442,0,0,NA
Jackson,1503002,14675,Central Point SD,Robert Pfaff Park,383,Jewett Elementary,635 Manzanita Street,,Central Point,OR,97502,24-Jun-13,9-Aug-13,31,0,0,1893,0,0,NA
Jackson,1503002,11627,Central Point SD,Jewett Elementary,383,Jewett Elementary School,1001 Manzanita Street,300 Ash Street,Central Point,OR,97502,12-Aug-13,23-Aug-13,10,0,0,598,0,0,NA
Douglas,1003002,11739,Central Douglas County Family YMCA,Central Douglas County Family YMCA Child Care,278,John Freemont Junior High,1151 Stewart Parkway,,Roseburg,OR,97471,17-Jun-13,23-Aug-13,49,875,0,2968,0,0,NA
Klamath,1811004,15243,Klamath County Family YMCA,Fairhaven Elementary/United Family Fellowship,459,Joseph Conger ELementary ,5400 Hwy 66,,Klamath Falls,OR,97601,17-Jun-13,30-Aug-13,54,0,0,653,0,0,NA
Washington,3406001,11238,Forest Grove SD 15,Joseph Gale Elem,1133,Joseph Gale Elementary,3130 18th Avenue,,Forest Grove,OR,97116,24-Jun-13,1-Aug-13,22,2720,0,1758,0,0,NA
Douglas,1018004,10431,Roseburg SD 4,Joseph Lane Middle School,279,Joseph Lane Middle School,2153 NE Vine,,Roseburg,OR,97470,29-Jul-13,30-Jul-13,1,0,0,21,0,0,NA
Deschutes,902001,14479,Bend/LaPine SD,Orchard Park,246,Juniper Elementary School,2001 NE 6th Street,,Bend,OR,97701,17-Jun-13,23-Aug-13,48,0,0,1928,0,0,NA
Deschutes,902001,14886,Bend/LaPine SD,Pilot Butte Neighborhood Park,246,Juniper Elementary School,1310 NE Hwy 20,,Bend,OR,97701,17-Jun-13,23-Aug-13,48,0,0,2010,0,0,NA
Lane,2002002,12985,Bethel SD 52,Kalapuya High School,3566,Kalapuya High School,1200 North Terry,,Eugene,OR,97402,24-Jun-13,8-Jul-13,14,457,0,1280,0,0,NA
Lane,2006004,14471,Food For Lane County,Royal Oaks Mobile Park,3566,Kalapuya High School,4900 Royal Avenue,,Eugene,OR,97402,24-Jun-13,23-Aug-13,44,0,0,1120,0,0,NA
Curry,802001,10388,Brookings-Harbor SD 17,Brooking-Harbor High,236,Kalmiopsis,625 Pioneer,,Brookings,OR,97415,24-Jun-13,1-Aug-13,22,1015,0,1577,0,0,NA
Marion,2419004,10836,Salem/Keizer SD 24J,McNary High,747,Keizer Elementary,595 Chemawa Rd. N.,,Keizer,OR,97303,24-Jun-13,26-Jul-13,23,1404,0,3607,0,0,NA
Multnomah,2616011,11032,Portland SD,Kelly Elementary,864,Kelly Elementary School,9030 SE Cooper,,Portland,OR,97266,24-Jun-13,9-Aug-13,33,1135,0,2286,0,0,NA
