County,Agr.,Site.,Sponsor.Name,Site.Name,SchoolID,Area.Eligible.School,Street.Address,Addr2,City,State,Zip.Code,Opening.Date,Closing.Date,Operating.Days,Breakfasts.Served,AM.Snacks.Served,Lunches.Served,PM.Snacks.Served,Suppers.Served,X
Multnomah,2616011,10977,Portland SD,Madison High,915,Madison High,2735 NE 82nd,,Portland,OR,97220,18-Jun-13,16-Aug-13,41,841,0,1737,0,0,NA
Multnomah,2616011,14138,Portland SD,Glenhaven Park,915,Madison HS,NE 80th and Siskiyou,,Portland,OR,97213,18-Jun-13,16-Aug-13,42,0,0,4124,0,0,NA
Lane,2005005,10607,Eugene SD 4J,James Madison Middle,520,Madison Middle School,875 Wilkes Dr,,Eugene,OR,97404,8-Jul-13,1-Aug-13,16,389,0,746,0,0,NA
Jefferson,1610001,10524,Jefferson Co SD 509,Madras High,434,Madras High School,390 SE 10th Street,,Madras,OR,97741,9-Jul-13,25-Jul-13,11,69,0,68,0,0,NA
Jefferson,1610001,10530,Jefferson Co SD 509,Westside School,434,Madras High School,445 SE Buff Street,,Madras,OR,97741,24-Jun-13,23-Aug-13,43,1767,0,3554,0,0,NA
Lane,2006004,13123,Food For Lane County,Mangan Park,586,Malabon Elementary School,Wagner & Mangan streets,,Eugene,OR,97402,24-Jun-13,23-Aug-13,44,0,0,1959,0,0,NA
Lane,2006004,12456,Food For Lane County,Petersen Barn Park,586,Malabon Elementary School,870 Berntzen,,Eugene,OR,97402,24-Jun-13,23-Aug-13,44,0,0,4752,0,0,NA
Lane,2006004,14472,Food For Lane County,Malabon Elementary SFSP Site,586,Malabon Elementary,1380 Taney Street,,Eugene,OR,97402,17-Jun-13,23-Aug-13,49,1446,0,2024,0,0,NA
Klamath,1811002,10565,Klamath Co SD,Malin Elem,475,Malin Elementary School,2153 third street,,malin,OR,97632-0025,17-Jul-13,9-Aug-13,35,0,0,933,0,0,NA
Klamath,1811002,15284,Klamath Co SD,Malin Presbyterian Church,475,Malin Elementary School,2302 5th St,,Malin,OR,97632,29-Jul-13,2-Aug-13,5,0,0,60,0,0,NA
Lane,2006004,12439,Food For Lane County,Maple Elementary School,550,Maple Elementary School,2109 J Street,,Springfield,OR,97477,24-Jun-13,23-Aug-13,44,0,0,2120,0,0,NA
Lane,2006004,12953,Food For Lane County,Marcola Elementary,603,Marcola Elementary School,92250 School House Road,,Marcola,OR,97454,24-Jun-13,23-Aug-13,44,0,0,492,0,0,NA
Multnomah,2603006,14940,Centennial SD 28J,Wilkes Park,948,Margaret Scott Elem,3655 ne 154,,portland,OR,97230,18-Jun-13,23-Aug-13,47,0,0,1422,0,0,NA
Multnomah,2616011,11041,Portland SD,Markham Elem,1278,Markham Elem,10580 SW Capitol Hwy,,Portland,OR,97219,8-Jul-13,1-Aug-13,16,496,0,619,0,0,NA
Multnomah,2616011,14066,Portland SD,Markham Playground,1278,Markham Elem,10530 SW Capitol Hwy,,Portland,OR,97219,17-Jun-13,23-Aug-13,48,0,0,1080,0,0,NA
Marion,2419004,10873,Salem/Keizer SD 24J,Mary Eyre Elem,,Mary Eyre Elementary School,4868 Buffalo Dr. SE,,Salem,OR,97317,19-Jun-13,2-Aug-13,23,4172,0,6901,0,0,NA
Multnomah,2616011,12367,Portland SD,Essex Park,875,Marysville,SE 79th and Center,,Portland,OR,97206,18-Jun-13,23-Aug-13,48,0,0,5566,0,0,NA
Multnomah,2616011,11042,Portland SD,Marysville Elem,875,Marysville Elem,2334 NE 57th,,Portland,OR,97213,8-Jul-13,1-Aug-13,16,798,0,921,0,0,NA
Malheur,2308002,14048,"Harvest House Missions, Inc.",Beck Kiwanas,696,May Roberts Elementary,441 NW 8th Ave,,Ontario,OR,97914,10-Jun-13,16-Aug-13,48,0,0,1297,0,0,NA
Malheur,2308002,15134,"Harvest House Missions, Inc.",Laxon Park Rotary,696,May Roberts Elementary,161 SW 9th St.,,Ontario,OR,97914,10-Jun-13,16-Aug-13,48,0,0,544,0,0,NA
Douglas,1023001,14917,Winston-Dillard SD 116,NW Glenhart Ave. Park,311,McGovern Elementary School,201 NW Douglas,,Winston,OR,97496,17-Jun-13,15-Aug-13,35,0,0,813,0,0,NA
Washington,3402002,11217,Beaverton SD 48J,McKay Elem,1168,Mckay Elementary School,7485 SW Scholls Ferry Rd.,,Beaverton,OR,97008,18-Jun-13,16-Aug-13,43,38,0,1336,0,0,NA
Marion,2419004,10837,Salem/Keizer SD 24J,McKay High,771,McKay High School,2440 Lancaster Dr. NE.,,Salem,OR,97305,24-Jun-13,26-Jul-13,23,1508,0,5867,0,0,NA
Washington,3402002,13570,Beaverton SD 48J,Aloha Park Apts.,1169,Mckinley Elementary,875 SW 185th Ave.,,Beaverton,OR,97006,19-Jun-13,16-Aug-13,42,0,0,1015,0,0,NA
Washington,3402002,11218,Beaverton SD 48J,McKinley Elementary,1169,Mckinley Elementary School,1500 SW 185th Av.,,Beaverton,OR,97006,18-Jun-13,22-Aug-13,47,710,0,2703,0,0,NA
Washington,3402002,15219,Beaverton SD 48J,Wyndhaven Apartments,1169,Mckinley Elementary School,230 SW Edgeway,,Beaverton,OR,97006,19-Jun-13,16-Aug-13,42,0,0,2759,0,0,NA
Washington,2602004,13872,Boys & Girls Club of Portland Metropolitan Area,Inukai Boys & Girls Club,,McKinney,560 SE 3rd Ave,,Hillsboro,OR,97123,17-Jun-13,16-Aug-13,44,0,0,4339,3819,0,NA
Umatilla,3021002,11149,Umatilla SD 6,McNary Heights Elem,1032,McNary Heights Elementary School,120 Columbia,,Umatilla,OR,97882,17-Jun-13,16-Aug-13,43,1371,0,3929,0,0,NA
Linn,2207001,10742,Greater Albany SD 8J,Memorial Middle,642,Memorial Middle School,1050 Queen Ave SW,,Albany,OR,97321,17-Jun-13,16-Aug-13,43,137,0,244,0,0,NA
Linn,2207001,10740,Greater Albany SD 8J,West Albany High,642,Memorial Middle School,1130 Queen Ave SW,,Albany,OR,97321,17-Jun-13,16-Aug-13,43,0,0,0,0,0,NA
Klamath,1811002,15273,Klamath Co SD,Merrill Civic Center,476,merrill ,3011 east 2nd street,,merrill,OR,97633,17-Jun-13,9-Aug-13,35,0,0,988,0,0,NA
Jefferson,1610001,10527,Jefferson Co SD 509,Metolius Elem,431,Metolius Elementary,445 SE Buff Street,,Madras,OR,97741,24-Jun-13,23-Aug-13,43,0,0,1329,0,0,NA
Washington,3420001,11287,Tigard-Tualatin SD 23J,Metzger Elem,1140,Metzger Elem,10350 SW Lincoln Street,,Tigard,OR,97223,17-Jun-13,23-Aug-13,49,653,0,1660,0,0,NA
Washington,3420001,14457,Tigard-Tualatin SD 23J,Oleson Woods Apts,3029,Metzger Elementary,9105 SW 91st Ave,,Portland,OR,97223,17-Jun-13,23-Aug-13,49,0,0,1276,0,0,NA
Hood River,1408001,10113,Hood River SD,Mid Valley Elementary,363,Mid Valley Elementary,3686 Davis Dr,,Hood River,OR,97031,1-Jul-13,23-Jul-13,15,2315,0,3992,0,0,NA
Klamath,1811004,12086,Klamath County Family YMCA,YMCA,461,Mill Elementary,1221 So. Alameda Ave,,Klamath Falls,OR,97601,17-Jun-13,30-Aug-13,54,0,0,5797,0,0,NA
Multnomah,2604001,10944,David Douglas SD 40,Mill Park Elem,977,Mill Park,1900 SE 117th,,Portland,OR,97216,25-Jun-13,16-Aug-13,19,346,0,618,0,0,NA
Washington,3408001,14890,Hillsboro SD 1J,Hillsboro Family Resource Center,,Miller Education Center,451 SE Walnut Street,,Hillsboro,OR,97123,17-Jun-13,15-Aug-13,35,0,0,762,0,0,NA
Klamath,1809001,14708,Integral Youth Services of Klamath Falls,High Valley Estates,461,Mills Elementary School,1333 Avalon Street,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,49,0,0,576,0,0,NA
Klamath,1809001,14441,Integral Youth Services of Klamath Falls,Klamath Adult Learning Center,461,Mills Elementary School,2856 Eberline,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,37,0,0,740,0,0,NA
Klamath,1809001,12961,Integral Youth Services of Klamath Falls,Mills-Kiwanis Park,461,Mills Elementary School,Reclamation & Mitchell,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,49,0,0,1789,0,0,NA
Klamath,1809001,13540,Integral Youth Services of Klamath Falls,Teen Center,461,Mills Elementary School,601 East Main St,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,54,0,0,1418,0,0,NA
Lane,2006004,12438,Food For Lane County,Meadow Park,,Moffitt Elementary School,851 Mill Street,,Springfield,OR,97477,24-Jun-13,23-Aug-13,44,0,0,2044,0,0,NA
Clackamas,313001,10239,Molalla River SD 35,Molalla Elem,94,Molalla Elementary School,910 Toliver Rd,,Molalla,OR,97038,15-Jul-13,8-Aug-13,16,1534,0,2083,0,0,NA
Benton,213001,10188,Monroe SD,Monroe Grade School,1321,Monroe Grade School,600 Dragon Drive,,Monroe,OR,97456,17-Jun-13,8-Aug-13,32,655,0,1003,0,0,NA
Washington,3408001,14918,Hillsboro SD 1J,Hillsboro Church of the Nazarene,1117,Mooberry Elementary,1390 NE 21st Avenue,,Hillsboro,OR,97124,17-Jun-13,16-Aug-13,44,0,0,1070,0,0,NA
Lane,2006004,14473,Food For Lane County,Jasper Meadow Park,554,Mt. Vernon Elementary School,South 57th Street,,Springfield,OR,97478,24-Jun-13,23-Aug-13,44,0,0,882,0,0,NA
Lane,2006004,13311,Food For Lane County,Volunteer Park,554,Mt. Vernon Elementary School,42nd & Holly streets,,Springfield,OR,97477,24-Jun-13,23-Aug-13,44,0,0,1961,0,0,NA
Douglas,1019001,10443,South Umpqua SD 19,Myrtle Creek Elem,290,Myrtle Creek Elelmentary,651 NE Division,,Myrtle Creek,OR,97457,17-Jun-13,23-Aug-13,48,721,0,1892,0,0,NA
Coos,614001,13316,North Bend SD 13,Green Valley Mobile Home Park,214,Myrtle Crest Elementary,Green Valley Mobile Home Park,1535 Roseburg Road,Myrtle Point,OR,97458,1-Jul-13,16-Aug-13,34,0,0,680,0,0,NA
Coos,614001,14098,North Bend SD 13,Myrtle Point Library,`,Myrtle Crest Elementary,Myrtle Point Library,435 5th St,Myrtle Point,OR,97458,17-Jun-13,16-Aug-13,44,0,0,683,0,0,NA
Coos,614001,13319,North Bend SD 13,Rotary Park,214,Myrtle Crest Elementary,Rotary Park,Rotary Park C St.,Myrtle Point,OR,97458,17-Jun-13,16-Aug-13,44,0,0,1885,0,0,NA
Coos,614001,13375,North Bend SD 13,Skate Park,214,Myrtle Crest Elementary,Spruce St,,Myrtle Point,OR,97458,17-Jun-13,16-Aug-13,44,0,0,547,0,0,NA
Coos,614001,13317,North Bend SD 13,Sunset Park,214,Myrtle Crest Elementary,Sunset Park,Stover & 19 St,Myrtle Point,OR,97458,17-Jun-13,16-Aug-13,44,0,0,460,0,0,NA
Multnomah,2614007,14727,Native American Youth and Family Center,NAYA Family Center,,Native American Youth and Family Center,5135 NE Columbia Blvd.,,Portland,OR,97217,1-Jul-13,9-Aug-13,28,1353,0,2187,0,0,NA
Washington,3406001,11232,Forest Grove SD 15,Neil Armstrong Middle,1126,Neil Armstrong Middle School,1777 Mt. View Lane,,Forest Grove,OR,97116,8-Jul-13,1-Aug-13,16,330,0,925,0,0,NA
Umatilla,3016001,12422,Pendleton SD 16,Umatilla Indian Reservation,4202,Nixyaawii Site,73300 July Grounds Lane,,Pendleton,OR,97801,24-Jun-13,16-Aug-13,31,0,0,2943,0,0,NA
Coos,614001,12736,North Bend SD 13,Dunes Mobile Trailer Court,205,North Bay Elementary School,Dunes Mobile Trailer Court,Spinreel Drive,Lakeside,OR,97499,17-Jun-13,16-Aug-13,44,0,0,509,0,0,NA
Coos,614001,13525,North Bend SD 13,Lake Side County Park,205,North Bay Elementary School,Lake Side County Park,South 8th,Lakeside,OR,97499,17-Jun-13,16-Aug-13,44,0,0,1416,0,0,NA
Coos,614001,10378,North Bend SD 13,North Bay Elem,205,North Bay Elementary School,North Bay Elementary,93670 Viking Lane,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,992,0,0,NA
Coos,614001,14430,North Bend SD 13,Ocean Pine Mobile Park,205,North Bay Elementary School,Ocean Pine Mobil Park,"69262 Wildwood Rd,",North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,145,0,0,NA
Coos,614001,14187,North Bend SD 13,Wildwood Estates Mobile Home Park,205,North Bay Elementary School,Wildwook Estates Mobile Home Pk,69127 Wildwood Rd,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,0,0,241,0,0,NA
Coos,614001,10375,North Bend SD 13,North Bend Middle School,208,North Bend Middle School,North Bend Middle School,1500 16th,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,2072,0,1732,0,0,NA
Coos,614001,10374,North Bend SD 13,North Bend Sr High,208,North Bend Middle School,North Bend Sr. High,2323 Pacific Ave,North Bend,OR,97459,17-Jun-13,16-Aug-13,44,1869,0,3153,0,0,NA
Lane,2005005,10602,Eugene SD 4J,North Eugene High,536,North Eugene High School,200 Silver Lane,,Eugene,OR,97404,5-Aug-13,28-Aug-13,15,0,0,332,0,0,NA
Multnomah,2607003,10961,Gresham-Barlow SD 10J,North Gresham Elem,938,North Gresham,101 SE 217th,,Gresham,OR,97030,25-Jun-13,11-Jul-13,11,2141,0,2088,0,0,NA
Marion,2414002,12310,North Marion SD 15,Donald City Park,724,North Marion Intermediate School,Main Street,,Donald,OR,97020,24-Jun-13,9-Aug-13,26,0,0,1068,0,0,NA
Marion,2414002,12309,North Marion SD 15,Revines Park,724,North Marion Intermediate School,20256 Grim Rd NE,,Aurora,OR,97002,24-Jun-13,9-Aug-13,26,0,0,4234,0,0,NA
Josephine,1707001,15092,Grants Pass SD,Lawnridge Park,438,North Middle/ Highland,1090 N.W. Hawthorne,,Grants Pass,OR,97526,17-Jun-13,23-Aug-13,48,0,0,2929,0,0,NA
Marion,2419004,10838,Salem/Keizer SD 24J,North Salem High,773,North Salem High School,765 14th St. NE,,Salem,OR,97301,24-Jun-13,26-Jul-13,23,2189,0,4985,0,0,NA
Malheur,2314001,15095,Nyssa SD 26,Fischer Mobile Park,702,Nyssa Elementary School,1720 Park Ave,,Nyssa,OR,97913,4-Jul-13,9-Aug-13,27,0,0,603,0,0,NA
Malheur,2314001,14739,Nyssa SD 26,Lions Park,702,Nyssa Elementary School,708 Park Ave,,Nyssa,OR,97913,4-Jul-13,9-Aug-13,27,0,0,923,0,0,NA
Malheur,2314001,15166,Nyssa SD 26,Malheur Education Center,702,Nyssa Elementary School,575 Thunderegg Blvd,,Nyssa,OR,97913,8-Jul-13,26-Jul-13,15,0,0,0,0,0,NA
Malheur,2314001,14218,Nyssa SD 26,Nyssa South Park,702,Nyssa Elementary School,521 Reece Ave.,,Nyssa,OR,97913,4-Jul-13,9-Aug-13,27,0,0,922,0,0,NA
Malheur,2314001,14057,Nyssa SD 26,Rio Vista,702,Nyssa Elementary School,211 East 1st Street,,Nyssa,OR,97913,4-Jul-13,9-Aug-13,27,0,0,1294,0,0,NA
Clackamas,314001,10262,North Clackamas SD 12,Oak Grove Elem,3342,Oak Grove Elementary,2150 SE Torbank Road,,Milwaukie,OR,97222,8-Jul-13,8-Aug-13,15,0,0,609,0,0,NA
Linn,2219004,10788,Sweet Home SD 55,Oak Heights Elem,666,Oak Heights Elementary,1610 Elm Street,,Sweet Home,OR,97386,17-Jun-13,23-Aug-13,47,0,0,1124,0,0,NA
Polk,2704001,10066,Dallas SD,LaCreole Middle School,990,Oakdale Elementary School ,701 SE LaCreole Dr,,Dallas,OR,97338,17-Jun-13,2-Aug-13,38,0,0,663,0,0,NA
Polk,2704001,10079,Dallas SD,Dallas High School,990,Oakdale Heights Elementary,1250 SE Holman,,Dallas,OR,97338,17-Jun-13,29-Jun-13,10,0,0,552,0,0,NA
Polk,2704001,10072,Dallas SD,Whitworth Elementary,990,Oakdale Heights Elementary,1151 SE Miller,,Dallas,OR,97338,1-Jul-13,23-Aug-13,38,0,0,1986,0,0,NA
Lane,2006004,12467,Food For Lane County,Hemlock Park,600,Oakridge Elementary School,22nd & Sunset,,Westfir,OR,97492,24-Jun-13,23-Aug-13,44,0,0,377,0,0,NA
Lane,2006004,14581,Food For Lane County,Oakridge Elementary School Summer Site,600,Oakridge Elementary School,48119 W. 1st Street,,Oakridge,OR,97463,1-Jul-13,31-Jul-13,18,315,0,0,0,0,NA
Lane,2006004,12466,Food For Lane County,Salmon Creek Park,600,Oakridge Elementary School,48400 Hills Street,,Oakridge,OR,97463,24-Jun-13,23-Aug-13,44,0,0,2870,0,0,NA
Lane,2006004,12465,Food For Lane County,WIllamette Activity Center,600,Oakridge Elementary School,47674 School Road,,Oakridge,OR,97463,24-Jun-13,23-Aug-13,44,0,0,1790,0,0,NA
Lincoln,2112001,14713,Lincoln Co SD,Ridge Apts,617,Oceanlake Elementary,3340 SE Harbor Dr,,Lincoln City,OR,97367,18-Jun-13,29-Aug-13,21,0,0,106,152,0,NA
Lincoln,2112001,10733,Lincoln Co SD,Taft Elem,617,OceanLake Elementary,4040 SE High School Drive,,Lincoln City,OR,97367,17-Jun-13,22-Aug-13,39,203,0,0,0,347,NA
Multnomah,2616011,12154,Portland SD,Peninsula Park,,Ockley Green K-8,N Albina & Rosa Parks Way,,Portland,OR,97217,18-Jun-13,23-Aug-13,48,0,0,8306,0,0,NA
Malheur,2315001,10801,Ontario SD,Ontario Sr High,699,Ontario High School,1115 West Idaho Ave,,Ontario,OR,97914,11-Jun-13,3-Jul-13,17,761,0,841,0,0,NA
Multnomah,2603006,10930,Centennial SD 28J,Parklane Elem,963,Parklane Elem,15811SE Main st,,Portland,OR,97233,17-Jun-13,30-Aug-13,53,818,0,3020,0,0,NA
Multnomah,2616002,10965,Parkrose SD 3,Parkrose High,931,Parkrose High School,12003 NE Shaver St,,Portland,OR,97220,18-Jun-13,31-Aug-13,54,0,0,4673,0,0,NA
Multnomah,2616002,10967,Parkrose SD 3,Prescott Elem,931,Parkrose High School,10410 NE Prescott St,,Portland,OR,97220,1-Jul-13,22-Aug-13,27,670,0,900,0,0,NA
Multnomah,2616002,10970,Parkrose SD 3,Shaver Elem,931,Parkrose High School,3701 NE 131st Pl,,Portland,OR,97230,29-Jul-13,22-Aug-13,16,1437,0,1752,0,0,NA
Josephine,1707001,14933,Grants Pass SD,Reinhart Volunteer Park,1351,Parkside Elementary,1690 Webster Road,,Grants Pass,OR,97526,17-Jun-13,23-Aug-13,48,0,0,2261,0,0,NA
Josephine,1707001,14909,Grants Pass SD,Westholm Park,1351,Parkside Elementary,225 S.W. Wildwood,,Grants Pass,OR,97526,17-Jun-13,23-Aug-13,48,0,0,961,0,0,NA
Marion,2413004,13225,Mid-Willamette Valley Community Action Agency - HOME,HOME Youth & Resource Center,767,Parrish Middle School,625 Union St. NE,,Salem,OR,97301,13-Jun-13,30-Aug-13,56,414,0,0,0,881,NA
Marion,2419004,14755,Salem/Keizer SD 24J,YMCA,767,Parrish Middle School,685 Court St. SE,,Salem,OR,97301,13-Jun-13,20-Aug-13,57,0,0,8128,0,0,NA
Klamath,1809001,14444,Integral Youth Services of Klamath Falls,Campus Green Mobile Home Park,462,Pelican Elem.,3611 Highway 97 North,,Klamath Falss,OR,97601,17-Jun-13,23-Aug-13,49,0,0,766,0,0,NA
Klamath,1809001,15081,Integral Youth Services of Klamath Falls,Krause Park,462,Pelican Elem.,Bly and Hanks Street,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,49,0,0,113,0,0,NA
Klamath,1809001,14445,Integral Youth Services of Klamath Falls,Moore Park,462,Pelican Elem.,685 Lakeshore Drive,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,49,0,0,312,0,0,NA
Multnomah,2616011,12370,Portland SD,Kenton Park,462,Peninsula Elem,N Delaware & Kilpatrick,,Portland,OR,97217,18-Jun-13,23-Aug-13,48,0,0,4403,0,0,NA
Multnomah,2616011,11044,Portland SD,Peninsula Elementary,462,Peninsula Elem,8125 N Emerald St,,Portland,OR,97219,24-Jun-13,18-Jul-13,15,617,0,782,0,0,NA
Klamath,1811002,10566,Klamath Co SD,Peterson Elem,477,peterson school,4856 clinton ave,,klamath falls,OR,97603,17-Jun-13,9-Aug-13,35,0,0,740,0,0,NA
Jackson,1516001,10516,Phoenix-Talent SD,Phoenix Elem,371,Phoenix Elementary School,215 North Rose,,Phoenix,OR,97535,17-Jun-13,16-Aug-13,25,0,0,548,100,0,NA
Jackson,1516001,10513,Phoenix-Talent SD,Phoenix High,374,Phoenix High School,745 N. Rose,,Phoenix,OR,97540,25-Jun-13,1-Aug-13,16,0,0,257,0,0,NA
Douglas,1016002,11356,Phoenix School of Roseburg,Phoenix School,4391,Phoenix School of Roseburg,3131 NE Diamond Lake Blvd,,Roseburg,OR,97470,24-Jun-13,3-Aug-13,22,0,0,1806,0,0,NA
Umatilla,3016001,14710,Pendleton SD 16,Pioneer Park,,Pioneer Park,400 SW Despain,,Pendleton,OR,97801,24-Jun-13,16-Aug-13,20,0,0,721,0,0,NA
Linn,2212001,14155,Lebanon Community SD 9,Booth Park,3504,Pioneer School,425 E. Grant Street,,Lebanon,OR,97355,17-Jun-13,23-Aug-13,49,0,0,1555,0,0,NA
Linn,2212001,15109,Lebanon Community SD 9,Cleveland Street Park,3504,Pioneer School,425 E. Grant St,,Lebanon,OR,97355,17-Jun-13,31-Jul-13,32,0,0,0,0,580,NA
Linn,2212001,13031,Lebanon Community SD 9,Pioneer School,3504,Pioneer School,500 N. 5th St,,Lebanon,OR,97355,17-Jun-13,23-Aug-13,49,0,0,0,0,1244,NA
Linn,2219004,10789,Sweet Home SD 55,Pleasant Valley Little Promises,966,Pleasant Valley Little Promises,28028 Pleasant Valley,,Sweet Home,OR,97386,17-Jun-13,23-Aug-13,42,763,0,1120,0,0,NA
Polk,2704001,13852,Dallas SD,Polk Adolescent Day Treatment Center,1260,Polk Adolescent Day Treatment,2200 E Ellendale Ave,,Dallas,OR,97338,17-Jun-13,23-Aug-13,43,14,0,243,0,0,NA
Klamath,1809001,13091,Integral Youth Services of Klamath Falls,Klamath County Court House,463,Pondorosa Jr. High,316 Main St.,,Klamath Falls,OR,97601,17-Jun-13,23-Aug-13,49,0,0,1363,0,0,NA
Grant,1210001,15270,John Day/Canyon City Parks and Rec,Prairie City,3349,Prairie City School,145 W. Front St.,,Prairie City,OR,97869,18-Jun-13,8-Aug-13,19,0,0,238,0,0,NA
Lane,2006004,12453,Food For Lane County,State Street Park,3567,Prairie Mountain School,Burnett & Dakota streets,,Eugene,OR,97404,24-Jun-13,23-Aug-13,44,0,0,2220,0,0,NA
Josephine,1707001,14907,Grants Pass SD,Redwood Park,439,Redwood Elementary,1395 Dowell Road,,Grants Pass,OR,97527,17-Jun-13,23-Aug-13,48,0,0,3170,0,0,NA
Douglas,614001,14107,North Bend SD 13,Circle Drive Reesport High,310,Reedsport Community Charter School,Circle Drive Reedsport High,176 South 22nd St.,Reedsport,OR,97467,17-Jun-13,16-Aug-13,44,0,0,585,0,0,NA
Douglas,614001,13376,North Bend SD 13,Reedsport Activity Park,310,Reedsport Community Charter School,Reedsport Skate Activity Park,Hwy 101,Reedsport,OR,97467,17-Jun-13,16-Aug-13,44,0,0,899,0,0,NA
Washington,3408001,13724,Hillsboro SD 1J,Reedville Recreation Park,1149,Reedville Elementary,2695 SW 209th Ave,,Aloh,OR,97006,17-Jun-13,16-Aug-13,44,0,0,2178,0,0,NA
Multnomah,2607003,15278,Gresham-Barlow SD 10J,Boys & Girls Club,,Reynolds,424 NE 172nd,,Portland,OR,97230,17-Jun-13,15-Aug-13,43,0,0,2123,3189,0,NA
Multnomah,2607003,12484,Gresham-Barlow SD 10J,Fairview Oaks Apts.,957,Reynolds High,22701 NE Halsey,,Fairview,OR,97024,17-Jun-13,15-Aug-13,43,0,0,1220,0,0,NA
Multnomah,2607003,13702,Gresham-Barlow SD 10J,Troutdale Terrace Apartments,957,Reynolds High,639 SW 257th Ave,,Troutdale,OR,97060,16-Jul-13,15-Aug-13,42,0,0,1134,0,0,NA
Multnomah,2618002,11073,Reynolds SD 7,Reynolds High,957,Reynolds High School,1698 SW Cherry Park Rd,,Troutdale,OR,97060,24-Jun-13,31-Jul-13,25,1280,0,1951,0,0,NA
Multnomah,2618002,11075,Reynolds SD 7,Reynolds Middle,1254,Reynolds Middle,1200 NE 201st Ave,,Fairview Or,OR,97024,8-Jul-13,8-Aug-13,20,1960,0,2735,0,0,NA
Marion,2419004,10880,Salem/Keizer SD 24J,Richmond Elem,757,Richmond Elementary,466 Richmond Ave SE,,Salem,OR,97301,13-Jun-13,30-Aug-13,57,0,0,2588,0,0,NA
Douglas,1019001,14694,South Umpqua SD 19,Riddle Elementary Summer Food Site,305,Riddle Elementary,463 Park St,,Riddle,OR,97469,17-Jun-13,23-Aug-13,29,974,0,1722,0,0,NA
Lane,2006004,15086,Food For Lane County,Jack B. Lively Memorial Park,553,Ridgeview Elementary School,6100 Thurston Road,,Springfield,OR,97477,24-Jun-13,23-Aug-13,44,0,0,922,0,0,NA
Lane,2006004,15298,Food For Lane County,Thurston High School,553,Ridgeview Elementary School,333 58th Street,,Springfield,OR,97478,8-Jul-13,1-Aug-13,16,352,0,0,0,0,NA
Lane,2006004,14775,Food For Lane County,Thurston Park,553,Ridgeview Elementary School,6329 F Street,,Springfield,OR,97477,24-Jun-13,23-Aug-13,44,0,0,2071,0,0,NA
Multnomah,2616011,11047,Portland SD,Rigler Elem,884,Rigler Elem,5401 NE Prescott,,Portland,OR,97218,18-Jun-13,23-Aug-13,32,3153,0,3806,0,0,NA
Curry,803001,10081,Central Curry Co SD,Gold Beach Union High School,231,Riley Creek Elementary,29516 Ellensburg Ave,,Gold Beach,OR,97444,16-Jun-13,27-Jun-13,10,4392,0,3421,0,0,NA
Curry,803001,10052,Central Curry Co SD,Riley Creek Elementary,231,Riley Creek Elementary,94350 Sixth Street,,Gold Beach,OR,97444,24-Jun-13,1-Aug-13,22,0,0,1109,0,0,NA
Lane,2006004,12458,Food For Lane County,Monroe Park,525,River Road Elementary School,10th & Monroe,,Eugene,OR,97402,24-Jun-13,23-Aug-13,44,0,0,1110,0,0,NA
Lane,2006004,12921,Food For Lane County,Sladden Park,525,River Road Elementary School,N. Adams & Cheshire,,Eugene,OR,97402,24-Jun-13,23-Aug-13,44,0,0,961,0,0,NA
Lane,2006004,12478,Food For Lane County,Riverbend Elementary,1352,Riverbend Elementary School,320 51st Street,,Springfield,OR,97477,24-Jun-13,23-Aug-13,44,0,0,2019,0,0,NA
Josephine,1707001,15235,Grants Pass SD,Grants Pass Skate Park,440,Riverside Elem. and South Middle School,820 SE M Street,,Grants Pass,OR,97526,17-Jun-13,23-Aug-13,48,0,0,1618,0,0,NA
Josephine,1702001,13306,Boys and Girls Clubs of the Rogue Valley,Grants Pass Boys and Girls Club,440,Riverside Elementary  ,203 se 9th street,,Grants Pass,OR,97526,17-Jun-13,23-Aug-13,48,6658,0,5261,0,0,NA
Morrow,2513001,14560,Morrow Co SD,Boardman Parks & Rec,820,Riverside High School,1 W Marine Dr,,Boardman,OR,97818,17-Jun-13,18-Jul-13,16,0,0,1378,0,0,NA
Morrow,2513001,10916,Morrow Co SD,Riverside High,820,Riverside High School,210 Boardman Avenue,,Boardman,OR,97818,12-Jun-13,28-Jun-13,13,267,0,389,0,0,NA
Linn,2212001,13555,Lebanon Community SD 9,First Baptist Church,3503,Riverview School,211 E. Vine Street,,Lebanon,OR,97355,24-Jun-13,28-Jun-13,5,0,0,826,0,0,NA
Umatilla,3003004,14174,City of Hermiston,Butte Park,1036,Rocky Heights,1245 nw 7th Street,,Hermiston,OR,97838,17-Jun-13,16-Aug-13,44,0,0,1689,0,0,NA
