District ID,District Name,Superintendent,School ID,School Name,Principal,Grades Offered,School Type,County,Total Enrollment,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Pct of Students Attending Regularly,Pct Mobile Students 2014-15,School Self-Contained Class Size,Oregon Self-Contained Class Size,School Departmentalized Class Size,Oregon Departmentalized Class Size,School ELA Class Size,Oregon ELA Class Size,School Math Class Size,Oregon Math Class Size,School Science Class Size,Oregon Science Class Size,School Social Studies Class Size,Oregon Social Studies Class Size,Pct Ever English Learners,Pct Economically Disadvantaged,Pct Students with Disabilities,Pct Asian,Pct Black,Pct Hispanic,Pct Native American,Pct Multi-racial,Pct Pacific Islander,Pct White,Number of Languages Spoken,School Rating,ESEA Designation,Rating Compared to Similar Schools,ELA Pct Met 2014-15,State ELA Pct Met,Like Schools ELA Pct Met,Math Pct Met 2014-15,State Math Pct Met,Like Schools Math Pct Met,Science Pct Met 2011-12,Science Pct Met 2012-13,Science Pct Met 2013-14,Science Pct Met 2014-15,State Science Pct Met,Like Schools Science Pct Met,Freshmen On Track 2013-14,Freshmen On Track 2014-15,State Freshman On Track,Like Schools Freshman On Track,SAT Participation 2011-12,SAT Participation 2012-13,SAT Participation 2013-14,SAT Participation 2014-15,State SAT Participation,Like Schools SAT Participation,Four Year Graduation Rate 2010-11,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,State Four Year Graduation Rate,Like Schools Four Year Graduation Rate,Five Year Completion Rate 2010-11,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,State Five Year Completion Rate,Like Schools Five Year Completion Rate,Dropout Rate 2010-11,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,State Dropout Rate,Like Schools Dropout Rate,Continuing Education Rate 2009-10,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,State Continuing Education Rate,Like Schools Continuing Education Rate
2005,Arlington SD 3,Steve Boynton,323,Arlington Community Charter School,Steve Boynton,Grade(s) K-12,H,Gilliam,143,,,,72.0%,15.7%,18.0,25.0,,,18.0,24.0,9.5,24.0,11.5,26.0,11.0,26.0,*,54%,11%,0,0,12%,2%,5%,1%,80%,4,Not Rated,,Not Rated,57.7,55.7,52.8,42.0,42.1,35.4,*,34.4,85.7,94.1,64.9,65.6,>95,80.0,79.9,81.7,37.5,22.2,72.7,63.6,31.7,43.0,83.3,62.5,71.4,91.7,72.0,81.8,91.7,88.9,85.7,100.0,82.1,85.3,0.0,0.0,7.3,0.0,4.0,2.1,40.0,46.7,50.0,42.9,60.5,53.7
2115,Arock SD 81,Vicki McConnell,711,W W Jones Elementary School,Vicki McConnell,Grade(s) K-8,E,Malheur,14,9,3,2,>95%,0.0%,7.0,25.0,--,--,,,,,,,,,*,*,*,0,0,14%,0,0,0,86%,2,Not Rated,,Not Rated,*,53.8,--,*,43.6,--,*,*,*,*,65.9,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,Ashland SD 5,Jay Hummel,381,Ashland High School,Erika Bare,Grade(s) 9-12,H,Jackson,975,,,,74.6%,10.7%,--,--,,,25.0,24.0,22.0,24.0,23.5,26.0,27.0,26.0,<5%,27%,12%,3%,2%,7%,1%,8%,<1%,79%,9,Not Rated,,Not Rated,84.3,68.5,78.3,52.1,31.6,44.7,73.5,77.2,74.5,62.4,62.6,72.7,93.6,93.4,79.9,89.4,65.3,60.0,59.4,61.8,31.7,50.4,91.2,86.1,83.0,86.3,72.0,86.4,95.8,95.8,95.0,94.5,82.1,92.5,1.2,2.0,1.8,1.7,4.0,1.0,74.5,68.8,71.5,55.3,60.5,70.4
2041,Ashland SD 5,Jay Hummel,380,Ashland Middle School,Steve Retzlaff,Grade(s) 6-8,M,Jackson,580,,,,78.6%,9.9%,--,--,,,24.0,24.0,24.0,24.0,26.5,26.0,25.0,26.0,<5%,35%,15%,3%,3%,7%,1%,5%,1%,81%,6,Not Rated,,Not Rated,76.8,56.4,66.0,62.0,42.5,51.8,77.7,81.5,86.2,83.8,65.0,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,Ashland SD 5,Jay Hummel,375,Bellview Elementary School,Christine McCollom,Grade(s) K-5,E,Jackson,314,202,112,--,87.9%,10.9%,27.0,25.0,201.0,25.0,,,,,,,,,*,35%,15%,1%,1%,7%,1%,4%,1%,85%,4,Not Rated,Model,Not Rated,74.8,51.1,62.1,67.3,44.8,56.0,84.5,78.1,>95,87.3,66.8,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,Ashland SD 5,Jay Hummel,377,Helman Elementary School,Michelle Cuddeback,Grade(s) K-5,E,Jackson,301,195,106,--,89.9%,9.4%,24.0,25.0,46.5,25.0,,,,,,,,,*,38%,11%,1%,1%,8%,1%,10%,0,80%,4,Not Rated,,Not Rated,71.1,51.1,62.0,61.0,44.8,55.5,88.7,90.5,91.3,82.2,66.8,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,Ashland SD 5,Jay Hummel,4476,John Muir Elementary School,Deirdre Pearson,Grade(s) K-8,E,Jackson,101,49,23,29,83.7%,7.6%,24.5,25.0,26.0,25.0,,,,,,,,,*,56%,14%,1%,1%,8%,0,16%,0,74%,3,Not Rated,Model,Not Rated,83.6,53.8,55.1,78.7,43.6,45.2,>95,>95,95.0,85.7,65.9,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,Ashland SD 5,Jay Hummel,379,Walker Elementary School,Tiffany Burns,Grade(s) K-5,E,Jackson,295,187,108,--,91.6%,14.4%,26.0,25.0,42.0,25.0,,,,,,,,,9%,52%,17%,3%,2%,15%,1%,10%,<1%,68%,5,Not Rated,,Not Rated,64.9,51.1,53.3,61.2,44.8,44.9,75.0,67.4,72.5,77.8,66.8,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,Ashwood SD 8,Melanie Friend,427,Ashwood Elementary School,Melanie Friend,Grade(s) K-6,E,Jefferson,2,1,--,1,*,60.0%,2.0,25.0,--,--,,,,,,,,,*,*,*,0,0,0,0,0,0,100%,1,Not Rated,,Not Rated,*,51.9,--,*,43.5,--,*,*,*,*,66.8,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,Astoria SD 1,Craig Hoppes,143,Astor Elementary School,Kate Gohr,Grade(s) K-2,E,Clatsop,425,425,--,--,81.1%,16.7%,22.0,25.0,22.0,25.0,,,,,,,,,12%,61%,18%,1%,<1%,19%,2%,3%,1%,73%,4,Not Rated,,Not Rated,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
