District ID,District Name,Superintendent,School ID,School Name,Principal,Grades Offered,School Type,County,Total Enrollment,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Pct of Students Attending Regularly,Pct Mobile Students 2014-15,School Self-Contained Class Size,Oregon Self-Contained Class Size,School Departmentalized Class Size,Oregon Departmentalized Class Size,School ELA Class Size,Oregon ELA Class Size,School Math Class Size,Oregon Math Class Size,School Science Class Size,Oregon Science Class Size,School Social Studies Class Size,Oregon Social Studies Class Size,Pct Ever English Learners,Pct Economically Disadvantaged,Pct Students with Disabilities,Pct Asian,Pct Black,Pct Hispanic,Pct Native American,Pct Multi-racial,Pct Pacific Islander,Pct White,Number of Languages Spoken,School Rating,ESEA Designation,Rating Compared to Similar Schools,ELA Pct Met 2014-15,State ELA Pct Met,Like Schools ELA Pct Met,Math Pct Met 2014-15,State Math Pct Met,Like Schools Math Pct Met,Science Pct Met 2011-12,Science Pct Met 2012-13,Science Pct Met 2013-14,Science Pct Met 2014-15,State Science Pct Met,Like Schools Science Pct Met,Freshmen On Track 2013-14,Freshmen On Track 2014-15,State Freshman On Track,Like Schools Freshman On Track,SAT Participation 2011-12,SAT Participation 2012-13,SAT Participation 2013-14,SAT Participation 2014-15,State SAT Participation,Like Schools SAT Participation,Four Year Graduation Rate 2010-11,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,State Four Year Graduation Rate,Like Schools Four Year Graduation Rate,Five Year Completion Rate 2010-11,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,State Five Year Completion Rate,Like Schools Five Year Completion Rate,Dropout Rate 2010-11,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,State Dropout Rate,Like Schools Dropout Rate,Continuing Education Rate 2009-10,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,State Continuing Education Rate,Like Schools Continuing Education Rate
1970,Crook County SD,Duane Yecha,221,Ochoco Elementary School,David Robinson,Grade(s) K-5,E,Crook,387,289,98,--,83.9%,18.3%,24.5,25.0,15.0,25.0,,,,,,,,,25%,***,12%,2%,0,31%,1%,9%,0,58%,3,Not Rated,,Not Rated,36.5,51.1,46.3,29.5,44.8,38.0,49.2,50.8,62.2,69.2,66.8,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,Crook County SD,Duane Yecha,222,Paulina School,Kurt Sloper,Grade(s) K-8,E,Crook,22,12,6,4,82.4%,37.5%,11.0,25.0,--,--,,,,,,,,,*,***,*,0,0,18%,0,5%,0,77%,2,Not Rated,,Not Rated,36.4,53.8,--,9.1,43.6,--,83.3,50.0,*,*,65.9,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,Crook County SD,Duane Yecha,4392,Pioneer Secondary Alternative High School,Michelle Jonas,Grade(s) 9-12,H,Crook,60,,,,11.1%,75.5%,--,--,,,21.5,24.0,20.0,24.0,--,--,--,--,15%,***,23%,0,0,30%,5%,7%,0,58%,2,Not Rated,,Not Rated,42.9,68.5,<5,<5,31.6,*,60.0,37.5,12.5,14.3,62.6,42.9,*,*,79.9,*,--,--,--,0.0,31.7,0.0,27.8,27.9,23.0,20.8,72.0,0.0,62.2,58.4,54.1,62.3,82.1,56.7,12.7,4.2,8.7,17.9,4.0,--,29.3,29.3,21.4,17.9,60.5,14.3
1970,Crook County SD,Duane Yecha,223,Powell Butte Community Charter School,Jackie LaFrenz,Grade(s) K-8,E,Crook,186,77,48,61,85.9%,3.2%,20.0,25.0,--,--,,,,,,,,,<5%,16%,13%,0,4%,8%,2%,2%,0,84%,2,Not Rated,,Not Rated,61.9,53.8,73.8,31.7,43.6,64.7,89.5,88.2,90.7,74.3,65.9,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,Crow-Applegate-Lorane SD 66,Aaron Brown,589,Applegate Elementary School,Aaron Brown,Grade(s) K-6,E,Lane,124,71,41,12,75.2%,13.5%,15.5,25.0,12.0,25.0,,,,,,,,,*,48%,23%,1%,0,6%,6%,4%,0,84%,2,Not Rated,,Not Rated,25.4,51.9,56.3,27.0,43.5,48.0,44.4,65.0,41.7,50.0,66.8,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,Crow-Applegate-Lorane SD 66,Aaron Brown,592,Crow Middle/High School,Carla DeShaw,Grade(s) 7-12,H,Lane,148,,,,80.7%,15.7%,--,--,,,21.0,24.0,16.0,24.0,14.0,26.0,24.0,26.0,*,32%,21%,0,0,3%,5%,6%,0,86%,4,Not Rated,,Not Rated,61.3,60.9,61.9,29.6,40.2,41.0,62.5,62.2,55.9,53.6,63.9,75.4,84.6,90.9,79.9,86.6,36.0,33.3,40.9,48.1,31.7,51.7,80.8,90.9,82.6,72.0,72.0,87.9,93.3,84.6,91.3,82.6,82.1,91.1,1.1,0.0,3.9,1.0,4.0,1.4,53.6,61.9,45.0,63.2,60.5,58.9
2050,Culver SD 4,Stefanie Garber,425,Culver Elementary School,Stefanie Garber,Grade(s) K-5,E,Jefferson,288,192,96,--,85.9%,12.2%,24.0,25.0,--,--,,,,,,,,,23%,66%,11%,<1%,1%,34%,2%,4%,0,58%,3,Not Rated,,Not Rated,55.8,51.1,51.6,50.8,44.8,43.7,54.3,61.9,85.7,77.5,66.8,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,Culver SD 4,Stefanie Garber,426,Culver High School,Tim Fields,Grade(s) 9-12,H,Jefferson,231,,,,76.8%,14.8%,--,--,,,19.0,24.0,16.0,24.0,24.0,26.0,26.0,26.0,17%,59%,14%,1%,1%,27%,1%,<1%,1%,68%,3,Not Rated,,Not Rated,54.5,68.5,70.4,33.3,31.6,27.3,73.7,61.1,44.6,38.6,62.6,61.3,90.0,82.0,79.9,80.2,25.0,36.7,33.3,40.6,31.7,31.2,80.0,75.0,86.4,76.6,72.0,76.3,83.3,83.3,87.3,93.3,82.1,87.3,1.9,0.5,2.7,0.9,4.0,2.0,61.0,42.2,43.4,41.5,60.5,51.7
2050,Culver SD 4,Stefanie Garber,1295,Culver Middle School,Brad Kudlac,Grade(s) 6-8,M,Jefferson,170,,,,85.4%,12.3%,--,--,,,23.5,24.0,28.0,24.0,27.0,26.0,28.5,26.0,23%,61%,14%,0,1%,37%,2%,1%,0,59%,2,Not Rated,Model,Not Rated,58.4,56.4,48.8,43.0,42.5,36.9,67.9,66.0,67.3,60.3,65.0,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,Dallas SD 2,Michelle Johnstone,995,Dallas High School,Steve Spencer,Grade(s) 9-12,H,Polk,1020,,,,86.5%,17.0%,--,--,,,27.0,24.0,23.0,24.0,28.0,26.0,28.0,26.0,<5%,30%,13%,2%,<1%,6%,4%,2%,<1%,85%,8,Not Rated,,Not Rated,75.5,68.5,75.1,34.6,31.6,38.3,78.6,69.8,63.1,65.9,62.6,68.7,80.4,77.1,79.9,85.8,27.1,26.5,22.2,21.3,31.7,47.9,50.8,52.9,51.8,67.3,72.0,82.7,88.6,84.5,74.5,86.4,82.1,89.4,1.3,1.7,1.9,2.0,4.0,1.6,53.5,62.5,51.8,57.3,60.5,63.6
2190,Dallas SD 2,Michelle Johnstone,994,LaCreole Middle School,Jamie Richardson,Grade(s) 6-8,M,Polk,649,,,,78.7%,14.0%,--,--,,,24.0,24.0,25.0,24.0,26.0,26.0,26.5,26.0,<5%,45%,18%,2%,2%,8%,4%,2%,1%,83%,5,Not Rated,,Not Rated,51.9,56.4,61.7,45.5,42.5,47.6,78.9,76.2,68.9,70.2,65.0,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,Dallas SD 2,Michelle Johnstone,3461,Luckiamute Valley Charter School,Dan Austin,Grade(s) K-8,E,Polk,199,87,50,62,89.7%,21.8%,24.0,25.0,15.0,25.0,,,,,,,,,<5%,57%,9%,1%,1%,9%,3%,9%,0,77%,2,Not Rated,,Not Rated,50.8,53.8,44.8,40.3,43.6,36.9,82.6,68.3,76.1,71.8,65.9,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,Dallas SD 2,Michelle Johnstone,989,Lyle Elementary School,Todd Baughman,Grade(s) K-3,E,Polk,428,428,--,--,83.9%,17.2%,28.5,25.0,--,--,,,,,,,,,6%,55%,15%,1%,<1%,12%,3%,6%,<1%,78%,4,Not Rated,,Not Rated,35.6,47.4,--,49.2,47.1,--,*,*,*,*,*,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,Dallas SD 2,Michelle Johnstone,990,Oakdale Heights Elementary School,Caleb Harris,Grade(s) K-3,E,Polk,369,369,--,--,80.2%,17.9%,25.0,25.0,--,--,,,,,,,,,<5%,55%,14%,<1%,1%,9%,3%,4%,1%,82%,2,Not Rated,,Not Rated,44.6,47.4,--,64.1,47.1,--,*,*,*,*,*,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,Dallas SD 2,Michelle Johnstone,993,Whitworth Elementary School,Steve Martinelli,Grade(s) 4-5,E,Polk,405,--,405,--,84.7%,14.0%,29.0,25.0,--,--,,,,,,,,,<5%,55%,20%,1%,1%,10%,2%,5%,<1%,80%,4,Not Rated,,Not Rated,50.1,53.0,55.4,43.2,43.6,47.5,75.6,76.7,77.0,74.4,66.8,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,980,Alice Ott Middle School,James Johnston,Grade(s) 6-8,M,Multnomah,721,,,,91.8%,13.7%,--,--,,,20.0,24.0,27.0,24.0,30.0,26.0,29.5,26.0,42%,72%,8%,16%,8%,17%,<1%,7%,2%,50%,30,Not Rated,Model,Not Rated,66.9,56.4,51.2,55.0,42.5,37.4,65.3,72.2,69.1,72.9,65.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,3580,Arthur Academy,John Luebke,Grade(s) K-5,E,Multnomah,153,108,45,--,>95%,5.0%,26.0,25.0,--,--,,,,,,,,,10%,44%,7%,8%,2%,7%,0,10%,2%,71%,10,Not Rated,,Not Rated,76.1,51.1,59.7,56.3,44.8,52.1,88.9,>95,72.7,95.0,66.8,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,972,Cherry Park Elementary School,Kate Barker,Grade(s) K-5,E,Multnomah,504,338,166,--,89.4%,16.2%,27.0,25.0,1.0,25.0,,,,,,,,,32%,77%,14%,12%,11%,26%,1%,8%,<1%,42%,22,Not Rated,,Not Rated,55.8,51.1,44.5,47.8,44.8,36.6,76.3,76.4,75.8,66.3,66.8,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,983,David Douglas High School,John Bier,Grade(s) 9-12,H,Multnomah,3061,,,,73.7%,16.0%,--,--,,,25.0,24.0,28.0,24.0,27.0,26.0,30.0,26.0,42%,76%,10%,19%,10%,24%,1%,5%,1%,40%,43,Not Rated,,Not Rated,58.8,68.5,52.1,24.6,31.6,23.7,55.2,52.9,47.0,51.8,62.6,60.7,78.5,82.1,79.9,73.2,29.2,27.7,26.3,25.7,31.7,23.8,70.0,71.6,73.0,75.2,72.0,73.2,79.4,80.4,81.5,86.1,82.1,80.9,3.2,3.6,2.9,1.9,4.0,3.0,62.2,61.9,60.0,59.1,60.5,61.5
2187,David Douglas SD 40,Donald Grotting,3525,Earl Boyles Elementary,Ericka Guynes,Grade(s) PK-5,E,Multnomah,438,308,130,--,89.9%,13.2%,28.5,25.0,25.0,25.0,,,,,,,,,35%,81%,16%,13%,8%,33%,1%,7%,1%,38%,16,Not Rated,,Not Rated,49.2,51.1,41.5,39.8,44.8,35.5,63.4,78.5,77.1,71.4,66.8,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,981,Floyd Light Middle School,Doug Pease,Grade(s) 6-8,M,Multnomah,782,,,,82.8%,13.9%,--,--,,,21.0,24.0,30.0,24.0,29.0,26.0,26.0,26.0,42%,75%,15%,11%,9%,31%,<1%,7%,<1%,41%,29,Not Rated,,Not Rated,52.7,56.4,52.2,42.6,42.5,38.5,62.0,67.0,57.8,58.3,65.0,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,973,Gilbert Heights Elementary School,Shane Bassett,Grade(s) K-5,E,Multnomah,608,422,186,--,85.9%,19.4%,26.0,25.0,1.0,25.0,,,,,,,,,43%,78%,11%,16%,9%,22%,1%,8%,2%,41%,22,Not Rated,,Not Rated,37.5,51.1,46.8,25.5,44.8,39.9,57.6,69.9,58.7,38.0,66.8,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,974,Gilbert Park Elementary School,Stacie Moncrief,Grade(s) K-5,E,Multnomah,663,456,207,--,88.3%,21.6%,27.0,25.0,1.0,25.0,,,,,,,,,32%,70%,10%,9%,11%,16%,1%,7%,2%,54%,26,Not Rated,,Not Rated,44.3,51.1,47.7,41.2,44.8,39.0,64.3,70.3,67.2,45.2,66.8,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,975,Lincoln Park Elementary School,Rebecca Chase,Grade(s) K-5,E,Multnomah,650,467,183,--,86.8%,16.5%,29.0,25.0,30.0,25.0,,,,,,,,,48%,***,8%,18%,7%,31%,<1%,7%,3%,33%,26,Not Rated,,Not Rated,47.8,51.1,35.9,39.5,44.8,27.7,63.0,72.0,46.4,39.5,66.8,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,976,Menlo Park Elementary School,Kellie Burkhardt,Grade(s) K-5,E,Multnomah,563,382,181,--,79.3%,20.1%,28.0,25.0,1.0,25.0,,,,,,,,,30%,77%,12%,11%,11%,26%,1%,8%,1%,42%,24,Not Rated,Model,Not Rated,52.5,51.1,46.3,39.2,44.8,37.8,56.1,57.3,40.3,38.8,66.8,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,977,Mill Park Elementary School,Bob Stelle,Grade(s) K-5,E,Multnomah,605,417,188,--,87.0%,20.1%,27.0,25.0,1.0,25.0,,,,,,,,,63%,***,9%,17%,16%,27%,1%,4%,1%,34%,28,Not Rated,,Not Rated,23.4,51.1,37.1,18.8,44.8,30.1,44.8,47.3,51.1,34.4,66.8,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,4232,Ron Russell Middle School,Andrew Long,Grade(s) 6-8,M,Multnomah,895,,,,84.6%,14.4%,--,--,,,23.0,24.0,30.0,24.0,32.0,26.0,31.0,26.0,51%,86%,17%,16%,14%,27%,1%,5%,1%,36%,31,Not Rated,,Not Rated,58.3,56.4,48.1,40.5,42.5,35.7,53.7,57.7,55.9,60.2,65.0,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,978,Ventura Park Elementary School,Jakob Curtis,Grade(s) K-5,E,Multnomah,509,342,167,--,89.5%,16.7%,26.0,25.0,1.0,25.0,,,,,,,,,42%,80%,14%,9%,11%,31%,1%,6%,2%,40%,25,Not Rated,,Not Rated,50.2,51.1,44.7,31.8,44.8,38.6,62.4,61.4,62.2,51.9,66.8,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,David Douglas SD 40,Donald Grotting,979,West Powellhurst Elementary School,Susan Olds,Grade(s) K-5,E,Multnomah,477,341,136,--,79.4%,14.2%,29.0,25.0,1.0,25.0,,,,,,,,,41%,***,10%,15%,9%,25%,1%,6%,1%,44%,25,Not Rated,,Not Rated,46.3,51.1,44.2,39.8,44.8,37.9,58.8,65.7,64.1,44.8,66.8,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,Dayton SD 8,Janelle Beers,1211,Dayton Grade School,Stephanie Ewing,Grade(s) K-5,E,Yamhill,422,281,141,--,>95%,11.8%,26.0,25.0,--,--,,,,,,,,,27%,72%,13%,1%,<1%,41%,1%,3%,<1%,53%,2,Not Rated,Priority,Not Rated,40.6,51.1,44.2,33.8,44.8,37.5,34.8,37.0,46.3,57.9,66.8,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,Dayton SD 8,Janelle Beers,1212,Dayton High School,Jami Fluke,Grade(s) 9-12,H,Yamhill,325,,,,>95%,15.3%,--,--,,,23.0,24.0,17.5,24.0,28.5,26.0,25.5,26.0,24%,64%,13%,2%,1%,36%,2%,2%,<1%,58%,2,Not Rated,,Not Rated,69.7,68.5,64.7,21.9,31.6,21.0,58.3,57.7,58.9,44.3,62.6,53.5,63.4,67.4,79.9,78.9,37.3,29.2,44.4,33.8,31.7,31.1,78.6,84.1,71.0,85.9,72.0,75.5,88.9,89.3,91.8,79.4,82.1,82.9,0.9,1.2,1.6,1.2,4.0,3.3,60.3,63.1,53.8,55.8,60.5,57.4
2253,Dayton SD 8,Janelle Beers,1291,Dayton Jr High School,Jami Fluke,Grade(s) 6-8,M,Yamhill,226,,,,>95%,15.2%,24.5,25.0,,,23.5,24.0,20.0,24.0,23.5,26.0,19.0,26.0,27%,75%,16%,0,<1%,40%,2%,3%,<1%,54%,3,Not Rated,,Not Rated,41.5,56.4,46.6,30.3,42.5,36.0,53.1,37.3,50.6,29.1,65.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Dayville SD 16J,Kathryn Hedrick,3353,Dayville School,Denise Folston,Grade(s) PK-12,H,Grant,49,,,,91.7%,16.4%,10.0,25.0,,,5.0,24.0,5.0,24.0,6.0,26.0,6.0,26.0,*,65%,18%,0,2%,0,0,0,0,98%,1,Not Rated,,Not Rated,44.0,55.7,54.1,20.0,42.1,34.5,76.9,81.3,90.0,69.2,64.9,63.9,85.7,*,79.9,91.3,60.0,66.7,--,80.0,31.7,43.6,66.7,100.0,100.0,100.0,72.0,76.8,100.0,80.0,100.0,100.0,82.1,83.2,0.0,0.0,0.0,0.0,4.0,3.6,71.4,75.0,25.0,100.0,60.5,37.5
2017,Diamond SD 7,Rae-Jean Neumann,348,Diamond Elementary School,Rae-Jean Neumann,Grade(s) K-8,E,Harney,11,3,3,5,90.9%,8.3%,6.0,25.0,--,--,,,,,,,,,*,91%,*,0,0,0,0,0,0,100%,1,Not Rated,,Not Rated,88.9,53.8,--,77.8,43.6,--,*,*,*,>95,65.9,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Double O SD 28,Karla Neuschwander,352,Double O Elementary School,Karla Neuschwander,Grade(s) K-8,E,Harney,2,1,--,1,*,0.0%,2.0,25.0,--,--,,,,,,,,,*,*,*,0,0,50%,0,0,0,50%,1,Not Rated,,Not Rated,*,53.8,--,*,43.6,--,*,*,*,*,65.9,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Douglas County SD 15,Mark Angle,3348,Days Creek Charter School,Mark Angle,Grade(s) K-12,H,Douglas,174,,,,77.7%,22.5%,16.0,25.0,,,17.0,24.0,14.0,24.0,10.0,26.0,17.0,26.0,*,68%,13%,2%,0,12%,3%,7%,0,76%,4,Not Rated,,Not Rated,30.0,55.7,47.2,12.3,42.1,28.9,36.0,41.2,37.9,33.3,64.9,59.8,85.7,>95,79.9,77.3,45.5,50.0,66.7,47.4,31.7,37.9,87.9,75.0,76.9,92.3,72.0,78.7,75.9,91.2,73.1,84.6,82.1,85.0,1.8,0.0,3.8,1.0,4.0,2.1,63.6,51.7,68.4,80.0,60.5,48.6
1991,Douglas County SD 4,Gerry Washburn,269,Eastwood Elementary School,Nicki Opp,Grade(s) K-5,E,Douglas,435,298,137,--,78.4%,20.8%,24.0,25.0,--,--,,,,,,,,,<5%,75%,11%,1%,<1%,11%,1%,6%,<1%,80%,4,Not Rated,,Not Rated,49.7,51.1,42.0,35.7,44.8,35.2,*,*,62.3,69.7,66.8,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,270,Fir Grove Elementary School,Lisa Dickover,Grade(s) K-5,E,Douglas,306,207,99,--,80.8%,26.2%,23.0,25.0,--,--,,,,,,,,,<5%,79%,19%,2%,1%,17%,2%,15%,0,63%,6,Not Rated,,Not Rated,56.2,51.1,45.1,47.7,44.8,35.7,72.0,68.1,71.7,78.6,66.8,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,271,Fullerton IV Elementary School,Katrina Hanson,Grade(s) K-5,E,Douglas,340,237,103,--,82.6%,24.4%,23.5,25.0,--,--,,,,,,,,,5%,68%,11%,<1%,1%,11%,1%,8%,1%,79%,2,Not Rated,,Not Rated,30.5,51.1,40.8,23.4,44.8,33.6,76.6,85.4,75.0,73.5,66.8,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,272,Green Elementary School,Kristen Garcia,Grade(s) K-5,E,Douglas,307,196,111,--,88.8%,27.9%,24.0,25.0,--,--,,,,,,,,,<5%,70%,8%,<1%,1%,12%,<1%,9%,0,77%,3,Not Rated,,Not Rated,33.8,51.1,41.3,30.3,44.8,32.4,60.5,57.8,65.9,62.7,66.8,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,273,Hucrest Elementary School,Doug Freeman,Grade(s) K-5,E,Douglas,424,273,151,--,86.6%,14.2%,24.0,25.0,--,--,,,,,,,,,<5%,39%,8%,3%,0,6%,1%,8%,<1%,81%,9,Not Rated,,Not Rated,59.5,51.1,61.3,52.3,44.8,52.3,83.9,93.7,82.9,78.4,66.8,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,278,John C Fremont Middle School,Ben Bentea,Grade(s) 6-8,M,Douglas,672,,,,82.8%,19.2%,3.0,25.0,,,22.0,24.0,26.0,24.0,26.0,26.0,27.0,26.0,<5%,58%,12%,1%,<1%,10%,2%,9%,<1%,77%,6,Not Rated,,Not Rated,45.6,56.4,55.2,36.6,42.5,40.7,74.5,76.8,65.5,63.5,65.0,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,279,Joseph Lane Middle School,Bill Bartlett,Grade(s) 6-8,M,Douglas,638,,,,82.0%,19.4%,--,--,,,19.5,24.0,24.0,24.0,27.0,26.0,26.0,26.0,5%,57%,11%,2%,1%,11%,1%,10%,<1%,74%,7,Not Rated,,Not Rated,57.5,56.4,54.6,38.2,42.5,40.9,59.0,67.5,63.5,63.3,65.0,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,274,Melrose Elementary School,Robert Freeman,Grade(s) K-5,E,Douglas,293,203,90,--,90.9%,14.8%,26.0,25.0,--,--,,,,,,,,,<5%,33%,7%,1%,<1%,4%,3%,6%,0,87%,5,Not Rated,,Not Rated,46.4,51.1,62.5,47.1,44.8,54.5,80.0,76.5,80.0,80.8,66.8,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,4391,Phoenix School,Ron Breyne,Grade(s) 8-12,H,Douglas,178,,,,45.7%,60.9%,--,--,,,19.5,24.0,14.5,24.0,20.0,26.0,18.5,26.0,*,9%,17%,0,1%,7%,2%,6%,1%,84%,1,Not Rated,,Not Rated,39.5,63.0,--,8.3,38.3,--,18.4,13.3,61.9,50.0,63.9,--,8.3,15.8,79.9,--,--,--,5.5,8.6,31.7,--,33.7,21.1,24.7,16.7,72.0,--,60.0,49.0,46.7,42.4,82.1,--,20.5,28.3,23.7,30.4,4.0,--,54.3,45.9,8.0,41.9,60.5,--
1991,Douglas County SD 4,Gerry Washburn,280,Roseburg High School,Jill Weber,Grade(s) 9-12,H,Douglas,1569,,,,84.2%,17.0%,--,--,,,23.0,24.0,21.5,24.0,23.0,26.0,27.0,26.0,<5%,41%,11%,2%,1%,9%,2%,9%,<1%,77%,11,Not Rated,,Not Rated,74.8,68.5,75.3,31.5,31.6,40.0,61.8,54.5,54.2,47.9,62.6,71.5,73.4,77.2,79.9,87.1,44.8,40.3,38.0,30.2,31.7,45.7,77.0,73.1,74.9,74.8,72.0,84.1,87.3,87.5,84.1,85.3,82.1,90.8,1.7,1.3,2.0,2.8,4.0,1.3,67.0,66.4,62.4,60.2,60.5,66.5
1991,Douglas County SD 4,Gerry Washburn,276,Sunnyslope Elementary School,Don Schrader,Grade(s) K-5,E,Douglas,296,206,90,--,76.9%,26.8%,26.0,25.0,--,--,,,,,,,,,*,76%,11%,0,<1%,10%,2%,14%,0,73%,2,Not Rated,,Not Rated,19.5,51.1,42.1,22.6,44.8,31.8,61.3,52.6,69.0,65.3,66.8,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Douglas County SD 4,Gerry Washburn,277,Winchester Elementary,Melissa Locke Warnicke,Grade(s) K-5,E,Douglas,343,224,119,--,86.8%,27.3%,23.0,25.0,--,--,,,,,,,,,*,72%,11%,0,1%,10%,1%,15%,0,73%,5,Not Rated,,Not Rated,26.8,51.1,40.2,24.2,44.8,32.5,75.6,64.4,57.6,66.7,66.8,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Drewsey SD 13,Buell Gonzales,350,Drewsey Elementary School,Susan Gonzales,Grade(s) K-8,E,Harney,6,--,2,4,*,16.7%,6.0,25.0,--,--,,,,,,,,,*,*,*,0,0,0,0,0,0,100%,1,Not Rated,,Not Rated,*,53.8,--,*,43.6,--,*,*,*,*,65.9,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,Dufur SD 29,Jack Henderson,3402,Dufur School,A Baptiste,Grade(s) K-12,H,Wasco,284,,,,76.8%,11.9%,21.0,25.0,,,22.0,24.0,18.0,24.0,21.0,26.0,22.0,26.0,<5%,53%,14%,1%,1%,3%,7%,4%,0,85%,4,Not Rated,,Not Rated,76.5,55.7,57.9,57.3,42.1,39.7,69.7,76.7,88.1,84.1,64.9,70.2,83.3,70.0,79.9,79.3,28.6,34.8,56.3,44.4,31.7,42.9,77.8,78.9,72.7,76.5,72.0,83.7,82.1,85.2,94.4,85.7,82.1,91.1,1.2,2.3,4.7,1.3,4.0,1.4,63.6,56.5,41.2,47.1,60.5,57.1
2043,Eagle Point SD 9,Cynda Rickert,5251,Crater Lake Charter Academy,Bryan Wood,Grade(s) K-12,H,Jackson,200,,,,61.1%,76.9%,18.0,25.0,,,22.0,24.0,19.5,24.0,19.5,26.0,16.5,26.0,*,44%,8%,0,1%,10%,3%,1%,1%,86%,2,Not Rated,,Not Rated,34.2,55.7,32.6,18.9,42.1,7.7,*,*,*,56.8,64.9,30.0,--,26.7,79.9,27.3,--,--,--,0.0,31.7,0.7,--,--,--,--,72.0,7.8,--,--,--,--,82.1,50.8,--,--,--,--,4.0,38.3,--,--,--,--,60.5,26.3
