SchoolID,School,District,SchoolType,No_of_Program,Summer_2015_Activities,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
719,Aumsville Elementary School,Cascade SD 5,E,4,In the Month of July is Migrant Ed program and open to the public. Also this site will sponsor an August Academe 2 weeks session. ,58.25,85.6,English Language Arts,98.7,53.4
719,Aumsville Elementary School,Cascade SD 5,E,4,In the Month of July is Migrant Ed program and open to the public. Also this site will sponsor an August Academe 2 weeks session. ,58.25,85.6,Mathematics,98.7,39.2
719,Aumsville Elementary School,Cascade SD 5,E,4,In the Month of July is Migrant Ed program and open to the public. Also this site will sponsor an August Academe 2 weeks session. ,58.25,85.6,Science,99.1,71.2
504,Awbrey Park Elementary School,Eugene SD 4J,E,1,,56.14,84.7,English Language Arts,98.4,53.8
504,Awbrey Park Elementary School,Eugene SD 4J,E,1,,56.14,84.7,Mathematics,98.9,48.1
504,Awbrey Park Elementary School,Eugene SD 4J,E,1,,56.14,84.7,Science,96.6,75
4434,Baker Prairie Middle School,Canby SD 86,M,1,Summer School Program Migrant Summer School Program.,51.79,85.1,English Language Arts,96.7,55.9
4434,Baker Prairie Middle School,Canby SD 86,M,1,Summer School Program Migrant Summer School Program.,51.79,85.1,Mathematics,96.5,44
4434,Baker Prairie Middle School,Canby SD 86,M,1,Summer School Program Migrant Summer School Program.,51.79,85.1,Science,99.3,65.8
1154,Barnes Elementary School,Beaverton SD 48J,E,5,Tualatin Hills Park and Recreation District Rec Mobile,70.3,85,English Language Arts,98.9,33.7
1154,Barnes Elementary School,Beaverton SD 48J,E,5,Tualatin Hills Park and Recreation District Rec Mobile,70.3,85,Mathematics,98.9,30
1154,Barnes Elementary School,Beaverton SD 48J,E,5,Tualatin Hills Park and Recreation District Rec Mobile,70.3,85,Science,100,50.4
830,Beach Elementary School,Portland SD 1J,E,2,Enrichment actives such as sports games literacy and arts and crafts.,52.22,87.6,English Language Arts,91.6,50.6
830,Beach Elementary School,Portland SD 1J,E,2,Enrichment actives such as sports games literacy and arts and crafts.,52.22,87.6,Mathematics,91.3,41.5
830,Beach Elementary School,Portland SD 1J,E,2,Enrichment actives such as sports games literacy and arts and crafts.,52.22,87.6,Science,88.6,48
241,Bear Creek Elementary School,Bend-LaPine Administrative SD 1,E,2,Lunch and Learn,70.71,86.7,English Language Arts,99.7,42
241,Bear Creek Elementary School,Bend-LaPine Administrative SD 1,E,2,Lunch and Learn,70.71,86.7,Mathematics,99.7,41
241,Bear Creek Elementary School,Bend-LaPine Administrative SD 1,E,2,Lunch and Learn,70.71,86.7,Science,98.9,65.2
831,Beaumont Middle School,Portland SD 1J,M,1,Enrichments activities such as sports games literacy arts and crafts. ,39.57,84.5,English Language Arts,88.8,61.8
831,Beaumont Middle School,Portland SD 1J,M,1,Enrichments activities such as sports games literacy arts and crafts. ,39.57,84.5,Mathematics,91.5,55.5
831,Beaumont Middle School,Portland SD 1J,M,1,Enrichments activities such as sports games literacy arts and crafts. ,39.57,84.5,Science,93.2,69.5
1155,Beaver Acres Elementary School,Beaverton SD 48J,E,1,Parks and rec activities,60.26,88.8,English Language Arts,98.1,47.1
1155,Beaver Acres Elementary School,Beaverton SD 48J,E,1,Parks and rec activities,60.26,88.8,Mathematics,98.9,46.2
1155,Beaver Acres Elementary School,Beaverton SD 48J,E,1,Parks and rec activities,60.26,88.8,Science,100,49.6
1187,Beaverton High School,Beaverton SD 48J,H,1,,43.16,78.8,English Language Arts,93.5,57
1187,Beaverton High School,Beaverton SD 48J,H,1,,43.16,78.8,Mathematics,93,37
1187,Beaverton High School,Beaverton SD 48J,H,1,,43.16,78.8,Science,,
375,Bellview Elementary School,Ashland SD 5,E,2,Summer school,39.47,87.9,English Language Arts,100,74.1
375,Bellview Elementary School,Ashland SD 5,E,2,Summer school,39.47,87.9,Mathematics,100,66
375,Bellview Elementary School,Ashland SD 5,E,2,Summer school,39.47,87.9,Science,100,87.5
906,Benson Polytechnic High School,Portland SD 1J,H,1,transition to high school how to study organizational skills,71.33,78.4,English Language Arts,54.5,57.8
906,Benson Polytechnic High School,Portland SD 1J,H,1,transition to high school how to study organizational skills,71.33,78.4,Mathematics,38.5,27.8
906,Benson Polytechnic High School,Portland SD 1J,H,1,transition to high school how to study organizational skills,71.33,78.4,Science,57.8,48.1
192,Blossom Gulch Elementary School,Coos Bay SD 9,E,3,,61.03,78.5,English Language Arts,100,37.8
192,Blossom Gulch Elementary School,Coos Bay SD 9,E,3,,61.03,78.5,Mathematics,99.2,34.1
573,Bohemia Elementary School,South Lane SD 45J3,E,1,United Way Reading Spot,77.47,90.9,English Language Arts,96.4,39.4
573,Bohemia Elementary School,South Lane SD 45J3,E,1,United Way Reading Spot,77.47,90.9,Mathematics,96.4,47.5
573,Bohemia Elementary School,South Lane SD 45J3,E,1,United Way Reading Spot,77.47,90.9,Science,97.6,81.7
833,Boise-Eliot Elementary School,Portland SD 1J,E,4,Enrichment activities such as reading writing games sports and arts & crafts. ,82.66,83.8,English Language Arts,98,31.3
833,Boise-Eliot Elementary School,Portland SD 1J,E,4,Enrichment activities such as reading writing games sports and arts & crafts. ,82.66,83.8,Mathematics,96.6,25.3
833,Boise-Eliot Elementary School,Portland SD 1J,E,4,Enrichment activities such as reading writing games sports and arts & crafts. ,82.66,83.8,Science,95.9,38.7
467,Bonanza Elementary School,Klamath County SD,E,1,,72.82,86.5,English Language Arts,100,39.2
467,Bonanza Elementary School,Klamath County SD,E,1,,72.82,86.5,Mathematics,100,26.7
467,Bonanza Elementary School,Klamath County SD,E,1,,72.82,86.5,Science,100,55.6
467,Bonanza Elementary School,Klamath County SD,E,1,summer school,72.82,86.5,English Language Arts,100,39.2
467,Bonanza Elementary School,Klamath County SD,E,1,summer school,72.82,86.5,Mathematics,100,26.7
467,Bonanza Elementary School,Klamath County SD,E,1,summer school,72.82,86.5,Science,100,55.6
1135,Bridgeport Elementary School,Tigard-Tualatin SD 23J,E,3,Art and Craft Tables visits from the Tualatin City Library,57.03,92.6,English Language Arts,100,53.5
1135,Bridgeport Elementary School,Tigard-Tualatin SD 23J,E,3,Art and Craft Tables visits from the Tualatin City Library,57.03,92.6,Mathematics,100,48.7
1135,Bridgeport Elementary School,Tigard-Tualatin SD 23J,E,3,Art and Craft Tables visits from the Tualatin City Library,57.03,92.6,Science,100,57.3
834,Bridger Elementary School,Portland SD 1J,E,2,reading art and physical recreation activities,56.87,91.6,English Language Arts,97.3,48.4
834,Bridger Elementary School,Portland SD 1J,E,2,reading art and physical recreation activities,56.87,91.6,Mathematics,97.3,32.6
834,Bridger Elementary School,Portland SD 1J,E,2,reading art and physical recreation activities,56.87,91.6,Science,98.4,59.7
150,Broadway Middle School,Seaside SD 10,M,1,,60.89,83.9,English Language Arts,98.2,52.4
150,Broadway Middle School,Seaside SD 10,M,1,,60.89,83.9,Mathematics,97.9,36.6
150,Broadway Middle School,Seaside SD 10,M,1,,60.89,83.9,Science,100,61.2
3624,Brockway Elementary School,Winston-Dillard SD 116,E,1,Extended School Year Program for elementary students.,65.4,75.1,English Language Arts,100,33.3
