SchoolID,School,District,SchoolType,No_of_Program,Summer_2015_Activities,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
3353,Dayville School,Dayville SD 16J,H,1,Community garden arts and crafts PE type activities,,91.7,Mathematics,100,20
3353,Dayville School,Dayville SD 16J,H,1,Community garden arts and crafts PE type activities,,91.7,Science,100,69.2
932,Dexter McCarty Middle School,Gresham-Barlow SD 10J,M,2,,65.31,85.8,English Language Arts,97.7,50.5
932,Dexter McCarty Middle School,Gresham-Barlow SD 10J,M,2,,65.31,85.8,Mathematics,97.9,28.8
932,Dexter McCarty Middle School,Gresham-Barlow SD 10J,M,2,,65.31,85.8,Science,98.9,63.9
228,Driftwood Elementary School,Port Orford-Langlois SD 2CJ,E,1,Summer Math & Reading activities.,78.95,69.6,English Language Arts,98.7,50
228,Driftwood Elementary School,Port Orford-Langlois SD 2CJ,E,1,Summer Math & Reading activities.,78.95,69.6,Mathematics,98.7,43.6
228,Driftwood Elementary School,Port Orford-Langlois SD 2CJ,E,1,Summer Math & Reading activities.,78.95,69.6,Science,100,77.4
1098,Dry Hollow Elementary School,North Wasco County SD 21,E,3,OCDC Mig. Ed. only on Fridays & Saturdays = June 19 20 26 & 27 then July 3 (last day). Open to the public also. Then in August 3th through 19th 2015 this site again would be open for pre-kindergarten activities.,64.49,87.1,English Language Arts,100,42.3
1098,Dry Hollow Elementary School,North Wasco County SD 21,E,3,OCDC Mig. Ed. only on Fridays & Saturdays = June 19 20 26 & 27 then July 3 (last day). Open to the public also. Then in August 3th through 19th 2015 this site again would be open for pre-kindergarten activities.,64.49,87.1,Mathematics,99.2,30
1098,Dry Hollow Elementary School,North Wasco County SD 21,E,3,OCDC Mig. Ed. only on Fridays & Saturdays = June 19 20 26 & 27 then July 3 (last day). Open to the public also. Then in August 3th through 19th 2015 this site again would be open for pre-kindergarten activities.,64.49,87.1,Science,98.7,69.2
130,Eagle Creek Elementary School,Estacada SD 108,E,1,,61.38,77,English Language Arts,97.4,41.8
130,Eagle Creek Elementary School,Estacada SD 108,E,1,,61.38,77,Mathematics,97.4,25.3
130,Eagle Creek Elementary School,Estacada SD 108,E,1,,61.38,77,Science,100,73.9
397,Eagle Point High School,Eagle Point SD 9,H,1,High School Credit Retrieval Freshman Readiness courses sports practice theatre practice weight lifting and band. There are grades nine through twelve and groups include AM and PM. Special note: 2 two week sessions June 16th through 27th M-F and August 11th through 22nd M-F.,73.52,85.2,English Language Arts,97.6,72.9
397,Eagle Point High School,Eagle Point SD 9,H,1,High School Credit Retrieval Freshman Readiness courses sports practice theatre practice weight lifting and band. There are grades nine through twelve and groups include AM and PM. Special note: 2 two week sessions June 16th through 27th M-F and August 11th through 22nd M-F.,73.52,85.2,Mathematics,97.3,21.1
397,Eagle Point High School,Eagle Point SD 9,H,1,High School Credit Retrieval Freshman Readiness courses sports practice theatre practice weight lifting and band. There are grades nine through twelve and groups include AM and PM. Special note: 2 two week sessions June 16th through 27th M-F and August 11th through 22nd M-F.,73.52,85.2,Science,93.4,60.4
396,Eagle Point Middle School,Eagle Point SD 9,M,1,Summer School classes  open to public during service time,61.35,87.1,English Language Arts,98.7,55.8
396,Eagle Point Middle School,Eagle Point SD 9,M,1,Summer School classes  open to public during service time,61.35,87.1,Mathematics,98.9,32.1
396,Eagle Point Middle School,Eagle Point SD 9,M,1,Summer School classes  open to public during service time,61.35,87.1,Science,98.6,64.1
3525,Earl Boyles Elementary,David Douglas SD 40,E,3,Sun Program,80.95,89.9,English Language Arts,98.9,48.9
3525,Earl Boyles Elementary,David Douglas SD 40,E,3,Sun Program,80.95,89.9,Mathematics,99.5,39.1
3525,Earl Boyles Elementary,David Douglas SD 40,E,3,Sun Program,80.95,89.9,Science,100,70.3
933,East Gresham Elementary School,Gresham-Barlow SD 10J,E,2,SUN program,88.86,88.5,English Language Arts,97.8,28.2
933,East Gresham Elementary School,Gresham-Barlow SD 10J,E,2,SUN program,88.86,88.5,Mathematics,97.8,18.9
933,East Gresham Elementary School,Gresham-Barlow SD 10J,E,2,SUN program,88.86,88.5,Science,100,47.9
3433,Echo School,Echo SD 5,H,2,The district offers a variety of summer school educational and recreational program on Monday - Friday. Two weeks in June for Junior High and High School.  Two weeks in July for Elementary.,62.3,83.9,English Language Arts,98.4,53.2
3433,Echo School,Echo SD 5,H,2,The district offers a variety of summer school educational and recreational program on Monday - Friday. Two weeks in June for Junior High and High School.  Two weeks in July for Elementary.,62.3,83.9,Mathematics,99.2,34.6
3433,Echo School,Echo SD 5,H,2,The district offers a variety of summer school educational and recreational program on Monday - Friday. Two weeks in June for Junior High and High School.  Two weeks in July for Elementary.,62.3,83.9,Science,94.2,57.1
1217,Edwards Elementary School,Newberg SD 29J,E,2,,68.24,94.5,English Language Arts,99.5,48
1217,Edwards Elementary School,Newberg SD 29J,E,2,,68.24,94.5,Mathematics,98.9,40.4
1217,Edwards Elementary School,Newberg SD 29J,E,2,,68.24,94.5,Science,98.4,51.7
1308,Elk Meadow Elementary School,Bend-LaPine Administrative SD 1,E,3,Summer school; playground activities,52.53,90.7,English Language Arts,99.2,64.5
1308,Elk Meadow Elementary School,Bend-LaPine Administrative SD 1,E,3,Summer school; playground activities,52.53,90.7,Mathematics,98.5,52.1
1308,Elk Meadow Elementary School,Bend-LaPine Administrative SD 1,E,3,Summer school; playground activities,52.53,90.7,Science,100,77.3
1162,Elmonica Elementary School,Beaverton SD 48J,E,4,THPRD Recmobile,46.59,92.6,English Language Arts,99.3,58.5
1162,Elmonica Elementary School,Beaverton SD 48J,E,4,THPRD Recmobile,46.59,92.6,Mathematics,97.4,60.3
1162,Elmonica Elementary School,Beaverton SD 48J,E,4,THPRD Recmobile,46.59,92.6,Science,100,77.3
443,Evergreen Elementary School,Three Rivers/Josephine County SD,E,2,recreational and cultural activities,84.53,72.4,English Language Arts,99.5,43.8
443,Evergreen Elementary School,Three Rivers/Josephine County SD,E,2,recreational and cultural activities,84.53,72.4,Mathematics,99,39.6
443,Evergreen Elementary School,Three Rivers/Josephine County SD,E,2,recreational and cultural activities,84.53,72.4,Science,100,73
584,Fairfield Elementary School,Bethel SD 52,E,2,Pre Kindergarten preparedness class meets twice weekly,86.94,85.1,English Language Arts,98.7,45.5
584,Fairfield Elementary School,Bethel SD 52,E,2,Pre Kindergarten preparedness class meets twice weekly,86.94,85.1,Mathematics,99.4,38.2
584,Fairfield Elementary School,Bethel SD 52,E,2,Pre Kindergarten preparedness class meets twice weekly,86.94,85.1,Science,100,51.2
1006,Falls City High School,Falls City SD 57,H,1,,,65.9,English Language Arts,94.1,68.8
1006,Falls City High School,Falls City SD 57,H,1,,,65.9,Mathematics,88.2,26.7
1006,Falls City High School,Falls City SD 57,H,1,,,65.9,Science,88.2,66.7
1235,Faulconer-Chapman School,Sheridan SD 48J,E,2,Migrant summer school academic and enrichment activities,82.25,80.7,English Language Arts,97.9,21.8
1235,Faulconer-Chapman School,Sheridan SD 48J,E,2,Migrant summer school academic and enrichment activities,82.25,80.7,Mathematics,97.9,21
1235,Faulconer-Chapman School,Sheridan SD 48J,E,2,Migrant summer school academic and enrichment activities,82.25,80.7,Science,100,30.6
1163,Fir Grove Elementary School,Beaverton SD 48J,E,1,,53.94,87.6,English Language Arts,98.5,50.2
1163,Fir Grove Elementary School,Beaverton SD 48J,E,1,,53.94,87.6,Mathematics,97.7,44.6
1163,Fir Grove Elementary School,Beaverton SD 48J,E,1,,53.94,87.6,Science,98.9,55.3
270,Fir Grove Elementary School,Douglas County SD 4,E,4,,81.59,80.8,English Language Arts,100,52.5
270,Fir Grove Elementary School,Douglas County SD 4,E,4,,81.59,80.8,Mathematics,100,43.9
270,Fir Grove Elementary School,Douglas County SD 4,E,4,,81.59,80.8,Science,100,75.6
1181,Five Oaks Middle School,Beaverton SD 48J,M,1,sports and crafts,61.08,84.1,English Language Arts,94.8,47.5
1181,Five Oaks Middle School,Beaverton SD 48J,M,1,sports and crafts,61.08,84.1,Mathematics,95.1,39.9
1181,Five Oaks Middle School,Beaverton SD 48J,M,1,sports and crafts,61.08,84.1,Science,,
444,Fleming Middle School,Three Rivers/Josephine County SD,M,1,,58.38,81.1,English Language Arts,99.2,62.1
444,Fleming Middle School,Three Rivers/Josephine County SD,M,1,,58.38,81.1,Mathematics,99.5,39.6
444,Fleming Middle School,Three Rivers/Josephine County SD,M,1,,58.38,81.1,Science,100,75.9
1134,Forest Grove High School,Forest Grove SD 15,H,1,Summer School Credit Recovery Open to neighborhood children,50.58,83.7,English Language Arts,89.2,41.7
1134,Forest Grove High School,Forest Grove SD 15,H,1,Summer School Credit Recovery Open to neighborhood children,50.58,83.7,Mathematics,88,25.5
1134,Forest Grove High School,Forest Grove SD 15,H,1,Summer School Credit Recovery Open to neighborhood children,50.58,83.7,Science,92.2,51.2
738,Four Corners Elementary School,Salem-Keizer SD 24J,E,5,Open Library on Tuesday's and Thursday's. Open Computer Tu/ Th Lab aprox. 150 kids; Community 45.,87.91,77.8,English Language Arts,99.6,27
738,Four Corners Elementary School,Salem-Keizer SD 24J,E,5,Open Library on Tuesday's and Thursday's. Open Computer Tu/ Th Lab aprox. 150 kids; Community 45.,87.91,77.8,Mathematics,99.6,16.4
738,Four Corners Elementary School,Salem-Keizer SD 24J,E,5,Open Library on Tuesday's and Thursday's. Open Computer Tu/ Th Lab aprox. 150 kids; Community 45.,87.91,77.8,Science,100,34.6
1268,French Prairie Middle School,Woodburn SD 103,M,2,They are having 6th grade orientation with testing; math reading & science. It will also be an open site.,73.15,84.5,English Language Arts,99.5,32.2
1268,French Prairie Middle School,Woodburn SD 103,M,2,They are having 6th grade orientation with testing; math reading & science. It will also be an open site.,73.15,84.5,Mathematics,99.2,18.9
1268,French Prairie Middle School,Woodburn SD 103,M,2,They are having 6th grade orientation with testing; math reading & science. It will also be an open site.,73.15,84.5,Science,100,23
445,Fruitdale Elementary School,Three Rivers/Josephine County SD,E,2,,69.81,84.7,English Language Arts,100,62.1
445,Fruitdale Elementary School,Three Rivers/Josephine County SD,E,2,,69.81,84.7,Mathematics,100,54.4
445,Fruitdale Elementary School,Three Rivers/Josephine County SD,E,2,,69.81,84.7,Science,100,86.9
271,Fullerton IV Elementary School,Douglas County SD 4,E,3,Extended School Year.,75.36,82.6,English Language Arts,100,31.5
271,Fullerton IV Elementary School,Douglas County SD 4,E,3,Extended School Year.,75.36,82.6,Mathematics,100,24.2
271,Fullerton IV Elementary School,Douglas County SD 4,E,3,Extended School Year.,75.36,82.6,Science,100,74.5
115,Gardiner Middle School,Oregon City SD 62,M,1,Arts and crafts literacy and/or games.,43.44,80.7,English Language Arts,98.5,65.6
115,Gardiner Middle School,Oregon City SD 62,M,1,Arts and crafts literacy and/or games.,43.44,80.7,Mathematics,97.9,45.2
115,Gardiner Middle School,Oregon City SD 62,M,1,Arts and crafts literacy and/or games.,43.44,80.7,Science,99.2,70.2
30,Garfield Elementary School,Corvallis SD 509J,E,2,Parks & Rec program,71.84,88.5,English Language Arts,99.4,31.1
30,Garfield Elementary School,Corvallis SD 509J,E,2,Parks & Rec program,71.84,88.5,Mathematics,99.4,24.6
30,Garfield Elementary School,Corvallis SD 509J,E,2,Parks & Rec program,71.84,88.5,Science,100,37
849,George Middle School,Portland SD 1J,M,2,Reading art and physical activities,85.83,82.2,English Language Arts,92.8,17.6
849,George Middle School,Portland SD 1J,M,2,Reading art and physical activities,85.83,82.2,Mathematics,93.4,11.7
849,George Middle School,Portland SD 1J,M,2,Reading art and physical activities,85.83,82.2,Science,90.4,11.9
776,Gervais Elementary School,Gervais SD 1,E,0,Summer School with our own teaching staff,84.23,83.7,English Language Arts,98.7,35.9
776,Gervais Elementary School,Gervais SD 1,E,0,Summer School with our own teaching staff,84.23,83.7,Mathematics,98.2,30
776,Gervais Elementary School,Gervais SD 1,E,0,Summer School with our own teaching staff,84.23,83.7,Science,100,29.6
973,Gilbert Heights Elementary School,David Douglas SD 40,E,3,Sun Program,79.05,85.9,English Language Arts,100,36.3
973,Gilbert Heights Elementary School,David Douglas SD 40,E,3,Sun Program,79.05,85.9,Mathematics,99.6,25.4
973,Gilbert Heights Elementary School,David Douglas SD 40,E,3,Sun Program,79.05,85.9,Science,100,37.2
974,Gilbert Park Elementary School,David Douglas SD 40,E,3,Sun Program,71.43,88.3,English Language Arts,99.4,43.9
974,Gilbert Park Elementary School,David Douglas SD 40,E,3,Sun Program,71.43,88.3,Mathematics,98.7,39.4
974,Gilbert Park Elementary School,David Douglas SD 40,E,3,Sun Program,71.43,88.3,Science,100,44.9
1200,Glencoe High School,Hillsboro SD 1J,H,1,Summer Physical Fitness activities including weight training and running.,36.74,68.3,English Language Arts,98.1,63.3
1200,Glencoe High School,Hillsboro SD 1J,H,1,Summer Physical Fitness activities including weight training and running.,36.74,68.3,Mathematics,97.8,27.5
1200,Glencoe High School,Hillsboro SD 1J,H,1,Summer Physical Fitness activities including weight training and running.,36.74,68.3,Science,100,50.4
306,Glendale Elementary School,Glendale SD 77,E,1,A book reading program for six days in August,76.64,86.6,English Language Arts,97.6,29.6
306,Glendale Elementary School,Glendale SD 77,E,1,A book reading program for six days in August,76.64,86.6,Mathematics,98.2,14.1
306,Glendale Elementary School,Glendale SD 77,E,1,A book reading program for six days in August,76.64,86.6,Science,98.1,43.4
946,Glenfair Elementary School,Reynolds SD 7,E,3,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,93.12,70.8,English Language Arts,98.2,17.8
946,Glenfair Elementary School,Reynolds SD 7,E,3,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,93.12,70.8,Mathematics,97.2,12.2
946,Glenfair Elementary School,Reynolds SD 7,E,3,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,93.12,70.8,Science,97.1,34.8
239,Gold Beach High School,Central Curry SD 1,H,1,School Athletic Events Community Events etc.,68.97,68.8,English Language Arts,88.6,77.4
239,Gold Beach High School,Central Curry SD 1,H,1,School Athletic Events Community Events etc.,68.97,68.8,Mathematics,91.4,31.3
239,Gold Beach High School,Central Curry SD 1,H,1,School Athletic Events Community Events etc.,68.97,68.8,Science,91.4,71.9
2784,Grandhaven Elementary School,McMinnville SD 40,E,3,,67.82,83.3,English Language Arts,97.2,62.2
2784,Grandhaven Elementary School,McMinnville SD 40,E,3,,67.82,83.3,Mathematics,97.2,67.1
2784,Grandhaven Elementary School,McMinnville SD 40,E,3,,67.82,83.3,Science,95.8,69.6
442,Grants Pass High School,Grants Pass SD 7,H,1,Campssummer classesGP City PoolFamily Solutions,50.51,67.5,English Language Arts,78.9,43.5
442,Grants Pass High School,Grants Pass SD 7,H,1,Campssummer classesGP City PoolFamily Solutions,50.51,67.5,Mathematics,83.5,23
442,Grants Pass High School,Grants Pass SD 7,H,1,Campssummer classesGP City PoolFamily Solutions,50.51,67.5,Science,89,69.6
653,Green Acres School,Lebanon Community SD 9,E,1,,85.23,69.6,English Language Arts,99.3,32.3
653,Green Acres School,Lebanon Community SD 9,E,1,,85.23,69.6,Mathematics,99.3,26.3
653,Green Acres School,Lebanon Community SD 9,E,1,,85.23,69.6,Science,95.9,40.4
272,Green Elementary School,Douglas County SD 4,E,1,,75,88.8,English Language Arts,98.8,32.1
272,Green Elementary School,Douglas County SD 4,E,1,,75,88.8,Mathematics,97.1,29.1
272,Green Elementary School,Douglas County SD 4,E,1,,75,88.8,Science,100,61.8
1157,Greenway Elementary School,Beaverton SD 48J,E,1,,67.07,87.2,English Language Arts,100,47.9
1157,Greenway Elementary School,Beaverton SD 48J,E,1,,67.07,87.2,Mathematics,100,40.2
1157,Greenway Elementary School,Beaverton SD 48J,E,1,,67.07,87.2,Science,100,67.1
986,Gresham High School,Gresham-Barlow SD 10J,H,2,Sun program,60.25,71.1,English Language Arts,99,80.6
986,Gresham High School,Gresham-Barlow SD 10J,H,2,Sun program,60.25,71.1,Mathematics,98.7,33.4
986,Gresham High School,Gresham-Barlow SD 10J,H,2,Sun program,60.25,71.1,Science,99,57.3
1059,Grove Elementary School,Milton-Freewater Unified SD 7,E,1,,77.78,85.5,English Language Arts,99.3,41.5
1059,Grove Elementary School,Milton-Freewater Unified SD 7,E,1,,77.78,85.5,Mathematics,99.3,23.7
1059,Grove Elementary School,Milton-Freewater Unified SD 7,E,1,,77.78,85.5,Science,97.8,70.5
549,Hamlin Middle School,Springfield SD 19,M,2,Summer School,86.84,73.7,English Language Arts,97.9,39.2
549,Hamlin Middle School,Springfield SD 19,M,2,Summer School,86.84,73.7,Mathematics,98.6,24
549,Hamlin Middle School,Springfield SD 19,M,2,Summer School,86.84,73.7,Science,95.5,30.7
4715,Happy Valley Middle School,North Clackamas SD 12,M,0,Summer Rec meets at HLMS Mon-Fri 8:00-4:00.,25.14,90.4,English Language Arts,99,76.9
4715,Happy Valley Middle School,North Clackamas SD 12,M,0,Summer Rec meets at HLMS Mon-Fri 8:00-4:00.,25.14,90.4,Mathematics,99.2,60
4715,Happy Valley Middle School,North Clackamas SD 12,M,0,Summer Rec meets at HLMS Mon-Fri 8:00-4:00.,25.14,90.4,Science,99.4,68.1
659,Harrisburg Elementary School,Harrisburg SD 7J,E,1,Summer School will run concurrently with the summer food program.,66.1,80.4,English Language Arts,95.5,36.9
659,Harrisburg Elementary School,Harrisburg SD 7J,E,1,Summer School will run concurrently with the summer food program.,66.1,80.4,Mathematics,94.3,32.5
659,Harrisburg Elementary School,Harrisburg SD 7J,E,1,Summer School will run concurrently with the summer food program.,66.1,80.4,Science,98.1,43.1
576,Harrison Elementary School,South Lane SD 45J3,E,5,,75.42,87,English Language Arts,99.5,51.2
576,Harrison Elementary School,South Lane SD 45J3,E,5,,75.42,87,Mathematics,99.5,46.4
576,Harrison Elementary School,South Lane SD 45J3,E,5,,75.42,87,Science,100,89.1
4068,Harritt Elementary School,Salem-Keizer SD 24J,E,1,Giving books out to kids during lunch.,53.63,84.2,English Language Arts,97.8,48.9
4068,Harritt Elementary School,Salem-Keizer SD 24J,E,1,Giving books out to kids during lunch.,53.63,84.2,Mathematics,99.1,37.4
4068,Harritt Elementary School,Salem-Keizer SD 24J,E,1,Giving books out to kids during lunch.,53.63,84.2,Science,100,64.3
947,Hartley Elementary School,Reynolds SD 7,E,3,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,90.58,81.2,English Language Arts,99.6,26.6
947,Hartley Elementary School,Reynolds SD 7,E,3,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,90.58,81.2,Mathematics,99.6,17.5
947,Hartley Elementary School,Reynolds SD 7,E,3,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,90.58,81.2,Science,98.7,40.3
954,Hauton B Lee Middle School,Reynolds SD 7,M,2,SUN - Metropolitan Family Services  ,80.14,82.8,English Language Arts,98.7,32.4
954,Hauton B Lee Middle School,Reynolds SD 7,M,2,SUN - Metropolitan Family Services  ,80.14,82.8,Mathematics,98.6,24.9
954,Hauton B Lee Middle School,Reynolds SD 7,M,2,SUN - Metropolitan Family Services  ,80.14,82.8,Science,100,34
663,Hawthorne Elementary School,Sweet Home SD 55,E,2,,65.12,81.3,English Language Arts,99.4,24.1
663,Hawthorne Elementary School,Sweet Home SD 55,E,2,,65.12,81.3,Mathematics,99.4,20
663,Hawthorne Elementary School,Sweet Home SD 55,E,2,,65.12,81.3,Science,100,55.9
1164,Hazeldale Elementary School,Beaverton SD 48J,E,1,Parks and Rec District activities,51.93,87.8,English Language Arts,100,65.7
1164,Hazeldale Elementary School,Beaverton SD 48J,E,1,Parks and Rec District activities,51.93,87.8,Mathematics,100,68.1
1164,Hazeldale Elementary School,Beaverton SD 48J,E,1,Parks and Rec District activities,51.93,87.8,Science,100,60.3
421,Hedrick Middle School,Medford SD 549C,M,1,Continued education curriculum,77.74,77.2,English Language Arts,98,61.3
421,Hedrick Middle School,Medford SD 549C,M,1,Continued education curriculum,77.74,77.2,Mathematics,97.8,43.8
421,Hedrick Middle School,Medford SD 549C,M,1,Continued education curriculum,77.74,77.2,Science,99.3,76.6
377,Helman Elementary School,Ashland SD 5,E,1,Summer School,44.05,89.9,English Language Arts,98,70.7
377,Helman Elementary School,Ashland SD 5,E,1,Summer School,44.05,89.9,Mathematics,96.7,61.2
377,Helman Elementary School,Ashland SD 5,E,1,Summer School,44.05,89.9,Science,97.9,82.6
1359,Heritage Elementary,Woodburn SD 103,E,1,Open library story time games & other activities,77.96,74.1,English Language Arts,99.3,25.9
1359,Heritage Elementary,Woodburn SD 103,E,1,Open library story time games & other activities,77.96,74.1,Mathematics,99.3,28.3
1359,Heritage Elementary,Woodburn SD 103,E,1,Open library story time games & other activities,77.96,74.1,Science,99.3,25.9
455,Hidden Valley High School,Three Rivers/Josephine County SD,H,1,Math Science-summer school,50.56,74.2,English Language Arts,98.8,64.4
455,Hidden Valley High School,Three Rivers/Josephine County SD,H,1,Math Science-summer school,50.56,74.2,Mathematics,98.8,23.3
455,Hidden Valley High School,Three Rivers/Josephine County SD,H,1,Math Science-summer school,50.56,74.2,Science,99.4,50.6
309,Highland Elementary School,Reedsport SD 105,E,1,,67.41,74.4,English Language Arts,98.4,27.6
309,Highland Elementary School,Reedsport SD 105,E,1,,67.41,74.4,Mathematics,97.9,19.6
309,Highland Elementary School,Reedsport SD 105,E,1,,67.41,74.4,Science,98,59.2
743,Highland Elementary School,Salem-Keizer SD 24J,E,4,,92,74.9,English Language Arts,99.4,26.7
743,Highland Elementary School,Salem-Keizer SD 24J,E,4,,92,74.9,Mathematics,99.4,21.7
743,Highland Elementary School,Salem-Keizer SD 24J,E,4,,92,74.9,Science,98.5,27.3
935,Highland Elementary School,Gresham-Barlow SD 10J,E,3,Metropolitian Family Services Cafe Project,89.13,88.5,English Language Arts,99.2,26.4
935,Highland Elementary School,Gresham-Barlow SD 10J,E,3,Metropolitian Family Services Cafe Project,89.13,88.5,Mathematics,99.2,24.8
935,Highland Elementary School,Gresham-Barlow SD 10J,E,3,Metropolitian Family Services Cafe Project,89.13,88.5,Science,98.4,38.3
1184,Highland Park Middle School,Beaverton SD 48J,M,1,,31.52,86.7,English Language Arts,98.3,60.8
1184,Highland Park Middle School,Beaverton SD 48J,M,1,,31.52,86.7,Mathematics,98.6,53.3
1184,Highland Park Middle School,Beaverton SD 48J,M,1,,31.52,86.7,Science,,
204,Hillcrest Elementary School,North Bend SD 13,E,3,,58.49,84.7,English Language Arts,99.2,58.6
204,Hillcrest Elementary School,North Bend SD 13,E,3,,58.49,84.7,Mathematics,99.6,55.9
204,Hillcrest Elementary School,North Bend SD 13,E,3,,58.49,84.7,Science,98.8,75.9
1201,Hillsboro High School,Hillsboro SD 1J,H,1,Secondary Migrant Education Summer School,51.54,66.7,English Language Arts,97.6,70.9
1201,Hillsboro High School,Hillsboro SD 1J,H,1,Secondary Migrant Education Summer School,51.54,66.7,Mathematics,96.8,25.7
1201,Hillsboro High School,Hillsboro SD 1J,H,1,Secondary Migrant Education Summer School,51.54,66.7,Science,95,40.8
390,Hillside Elementary,Eagle Point SD 9,E,0,Summer School Focusing on math & reading grades K - 5  open to public during lunch service time.   Play ground on campus accessable,65.84,92.2,English Language Arts,99.6,35.1
390,Hillside Elementary,Eagle Point SD 9,E,0,Summer School Focusing on math & reading grades K - 5  open to public during lunch service time.   Play ground on campus accessable,65.84,92.2,Mathematics,99.1,33.5
390,Hillside Elementary,Eagle Point SD 9,E,0,Summer School Focusing on math & reading grades K - 5  open to public during lunch service time.   Play ground on campus accessable,65.84,92.2,Science,100,49.4
107,Holcomb Elementary School,Oregon City SD 62,E,1,There will be games reading and/or art activities going on each day.,56.97,84.4,English Language Arts,100,46.7
107,Holcomb Elementary School,Oregon City SD 62,E,1,There will be games reading and/or art activities going on each day.,56.97,84.4,Mathematics,100,40.5
107,Holcomb Elementary School,Oregon City SD 62,E,1,There will be games reading and/or art activities going on each day.,56.97,84.4,Science,100,78.9
4157,Holt Elementary School,Eugene SD 4J,E,2,,53.47,83.3,English Language Arts,98.1,53.1
4157,Holt Elementary School,Eugene SD 4J,E,2,,53.47,83.3,Mathematics,98.1,40.9
4157,Holt Elementary School,Eugene SD 4J,E,2,,53.47,83.3,Science,98.9,64.4
744,Hoover Elementary School,Salem-Keizer SD 24J,E,2,Elementary Migrant Summer School enrollment 400-450. Plus 50 Community.,83,80.9,English Language Arts,99.6,29.2
744,Hoover Elementary School,Salem-Keizer SD 24J,E,2,Elementary Migrant Summer School enrollment 400-450. Plus 50 Community.,83,80.9,Mathematics,99.2,21.7
744,Hoover Elementary School,Salem-Keizer SD 24J,E,2,Elementary Migrant Summer School enrollment 400-450. Plus 50 Community.,83,80.9,Science,100,51.3
171,Hudson Park Elementary School,Rainier SD 13,E,1,Basketball Skills Camp - June 10-12 Swimming June 22 - August 28  Grow Healthy Kids Cooking Class Tuesday and Thursday July 7-30  HS Summer School.    Elementary Summer School   Check out the Rainier School District Website at www.rainier.k12.or.us for details on all of our summer activities. ,59.52,82.2,English Language Arts,100,45.1
171,Hudson Park Elementary School,Rainier SD 13,E,1,Basketball Skills Camp - June 10-12 Swimming June 22 - August 28  Grow Healthy Kids Cooking Class Tuesday and Thursday July 7-30  HS Summer School.    Elementary Summer School   Check out the Rainier School District Website at www.rainier.k12.or.us for details on all of our summer activities. ,59.52,82.2,Mathematics,100,40
171,Hudson Park Elementary School,Rainier SD 13,E,1,Basketball Skills Camp - June 10-12 Swimming June 22 - August 28  Grow Healthy Kids Cooking Class Tuesday and Thursday July 7-30  HS Summer School.    Elementary Summer School   Check out the Rainier School District Website at www.rainier.k12.or.us for details on all of our summer activities. ,59.52,82.2,Science,100,63.2
998,Independence Elementary School,Central SD 13J,E,1,,77.67,83.6,English Language Arts,99.1,16.7
998,Independence Elementary School,Central SD 13J,E,1,,77.67,83.6,Mathematics,99.1,17.6
998,Independence Elementary School,Central SD 13J,E,1,,77.67,83.6,Science,100,56.7
4048,Irrigon Elementary School,Morrow SD 1,E,1,Summer school/reading writing and math instruction on a daily basis in a classroom setting.,75.86,78.8,English Language Arts,97.6,35.6
4048,Irrigon Elementary School,Morrow SD 1,E,1,Summer school/reading writing and math instruction on a daily basis in a classroom setting.,75.86,78.8,Mathematics,97.6,23.9
4048,Irrigon Elementary School,Morrow SD 1,E,1,Summer school/reading writing and math instruction on a daily basis in a classroom setting.,75.86,78.8,Science,100,32.2
817,Irrigon Junior/Senior High School,Morrow SD 1,H,1,Credit Recovery; Classroom Instruction,73.45,70.8,English Language Arts,97.3,50.8
817,Irrigon Junior/Senior High School,Morrow SD 1,H,1,Credit Recovery; Classroom Instruction,73.45,70.8,Mathematics,92.3,21.4
817,Irrigon Junior/Senior High School,Morrow SD 1,H,1,Credit Recovery; Classroom Instruction,73.45,70.8,Science,85.5,44.8
411,Jackson Elementary School,Medford SD 549C,E,1,Crafts & Group Activities,90,81,English Language Arts,99.2,33.2
411,Jackson Elementary School,Medford SD 549C,E,1,Crafts & Group Activities,90,81,Mathematics,99.2,28.3
411,Jackson Elementary School,Medford SD 549C,E,1,Crafts & Group Activities,90,81,Science,100,45.2
